m,err_m,x_m,err_x_m
1.0,1e-07,3.3200000000000003,0.07071067811865477
2.0,1e-07,6.285,0.07071067811865477
3.0,1e-07,8.955,0.07071067811865477
4.0,1e-07,11.2,0.07071067811865477
