m,err_m,phi [rad],err_phi [rad],g_m [m],err_g_m [m]
1.0,0,0.05430,0.00014,0.00001006,3E-8
2.0,0,0.10880,0.00014,0.000010043,1.3E-8
3.0,0,0.16360,0.00014,0.000010025,9E-9
4.0,0,0.21900,0.00021,0.000009994,1.0E-8
5.0,0,0.2450,0.0004,0.000011175,1.6E-8
6.0,0,0.3322,0.0004,0.000009910,1.3E-8
7.0,0,0.3900,0.0007,0.000009864,1.8E-8
8.0,0,0.4496,0.0007,0.000009799,1.5E-8
