m, err_m, x_l[mm],err_x_l,x_r[mm],err_x_r
1, 1e-7, 35.81,0.5,42.45,0.5
2, 1e-7, 32.69,0.5,45.26,0.5
3, 1e-7, 29.95,0.5,47.86,0.5
4, 1e-7, 27.6,0.5,50,0.5
