m, err_m, b[cm], err_b[cm], g_geg[cm], err_g_geg[cm], B[cm], err_B[cm], g_git [cm], err_g_git [cm]
2,0,240.5,0.3,10,0.5,2.3,0.1,1.01e-03,0.0000005
4,0,240.5,0.3,10,0.5,1.3,0.1,1.01e-03,0.0000005
7,0,240.5,0.3,10,0.5,0.7,0.1,1.01e-03,0.0000005
