m,err_m,b[cm],err_b[cm],g_geg[cm],err_g_geg[cm],B[cm],err_B[cm],g_git [cm],err_g_git [cm],G [cm],err_G [cm],N_over,err_N_over,mN,err_mN
2.0,0.0,240.5,0.3,10.0,0.5,2.3,0.1,0.00101,5e-07,0.096,0.006,95.0,6.0,190.0,12.0
4.0,0.0,240.5,0.3,10.0,0.5,1.3,0.1,0.00101,5e-07,0.054,0.005,54.0,5.0,216.0,20.0
7.0,0.0,240.5,0.3,10.0,0.5,0.7,0.1,0.00101,5e-07,0.029,0.004,29.0,4.0,203.0,28.0
