m,err_m,phi [rad],err_phi [rad],g_m [m],err_g_m [m]
1.0,0.0,0.0543,0.0001414214,1.00578e-05,2.62e-08
2.0,0.0,0.1088,0.0001414214,1.0043e-05,1.3e-08
3.0,0.0,0.1636,0.0001414214,1.00247e-05,8.6e-09
4.0,0.0,0.219,0.000212132,9.9938e-06,9.6e-09
5.0,0.0,0.24495,0.0003535534,1.11745e-05,1.6e-08
6.0,0.0,0.33215,0.0004301163,9.9098e-06,1.27e-08
7.0,0.0,0.39,0.0007071068,9.8636e-06,1.77e-08
8.0,0.0,0.4496,0.0007071068,9.7989e-06,1.52e-08
