m,err_m,b[cm],err_b[cm],g_geg[cm],err_g_geg[cm],B[cm],err_B[cm],g_git [cm],err_g_git [cm],G [cm],err_G [cm]
2.0,0.0,240.5,0.3,10.0,0.5,2.3,0.1,0.00101,5e-07,0.0956340956,0.0063378175
4.0,0.0,240.5,0.3,10.0,0.5,1.3,0.1,0.00101,5e-07,0.0540540541,0.0049596519
7.0,0.0,240.5,0.3,10.0,0.5,0.7,0.1,0.00101,5e-07,0.0291060291,0.004405476
