m,err_m,phi [rad],err_phi [rad],lambda [m],err_lambda [m]
1.0,0,0.0434,0.0004,4.37E-7,4E-9
2.0,0,0.0869,0.0004,4.372E-7,1.8E-9
3.0,0,0.1303,0.0004,4.371E-7,1.2E-9
4.0,0,0.1742,0.0004,4.380E-7,9E-10
5.0,0,0.2186,0.0004,4.393E-7,7E-10
6.0,0,0.2631,0.0004,4.403E-7,6E-10
7.0,0,0.3083,0.0007,4.417E-7,1.0E-9
8.0,0,0.3543,0.0007,4.436E-7,9E-10
9.0,0,0.4008,0.0011,4.454E-7,1.2E-9
10.0,0,0.4488,0.0014,4.481E-7,1.4E-9
11.0,0,0.4975,0.0014,4.508E-7,1.3E-9
