m,err_m,b[cm],err_b[cm],g_geg[cm],err_g_geg[cm],B[cm],err_B[cm],g_git [cm],err_g_git [cm],G [cm],err_G [cm],N_over,err_N_over
2.0,0,240.5,0.3,10.0,0.5,2.30,0.10,0.0010100,5E-7,0.096,0.006,95,6
4.0,0,240.5,0.3,10.0,0.5,1.30,0.10,0.0010100,5E-7,0.054,0.005,54,5
7.0,0,240.5,0.3,10.0,0.5,0.70,0.10,0.0010100,5E-7,0.029,0.004,29,4
