#Ne err_Ne Ne err_Ne
0.00000000000000001628 0.00000000000000001808 0.00000000000000001628 0.00000000000000001808
0.00000000000000000538 0.00000000000000000805 0.00000000000000000538 0.00000000000000000805
0.00000000000000032401 0.00000000000000033968 0.00000000000000032401 0.00000000000000033968
0.00000000000000004900 0.00000000000000004057 0.00000000000000004900 0.00000000000000004057
0.00000000000000002928 0.00000000000000004555 0.00000000000000002928 0.00000000000000004555
0.00000000000000012509 0.00000000000000008541 0.00000000000000012509 0.00000000000000008541
0.00000000000000000746 0.00000000000000004345 0.00000000000000000746 0.00000000000000004345
0.00000000000000010411 0.00000000000000008081 0.00000000000000010411 0.00000000000000008081
0.00000000000000022390 0.00000000000000013671 0.00000000000000022390 0.00000000000000013671
0.00000000000000026501 0.00000000000000018887 0.00000000000000026501 0.00000000000000018887
0.00000000000000019250 0.00000000000000017027 0.00000000000000019250 0.00000000000000017027
0.00000000000000008690 0.00000000000000010310 0.00000000000000008690 0.00000000000000010310
0.00000000000000005557 0.00000000000000003768 0.00000000000000005557 0.00000000000000003768
0.00000000000000002231 0.00000000000000000873 0.00000000000000002231 0.00000000000000000873
0.00000000000000001013 0.00000000000000000818 0.00000000000000001013 0.00000000000000000818
