#t_up_mean	t_up_err	t_mid_mean	t_mid_err	t_down_mean	t_down_err
1.29 0.20 1.27 0.20 0.27 0.20
0.94 0.14 2.66 0.14 0.83 0.14
0.72 0.14 3.11 0.14 0.76 0.14
0.54 0.14 4.44 0.14 0.88 0.14
0.68 0.20 4.59 0.20 0.72 0.20
2.29 0.09 1.23 0.09 0.37 0.09
1.36 0.20 2.19 0.20 0.61 0.20
1.91 0.14 4.71 0.14 1.06 0.14
