#v_up err_v_up v_0 err_v_0 v_down err_v_down
0.000155 0.000024 0.000157 0.000025 0.0007 0.0005
0.00021 0.00003 0.000075 0.000004 0.00024 0.00004
0.00028 0.00005 0.000064 0.000003 0.00026 0.00005
0.00037 0.00010 0.0000450 0.0000014 0.00023 0.00004
0.00029 0.00009 0.0000436 0.0000019 0.00028 0.00008
0.000087 0.000003 0.000163 0.000012 0.00054 0.00013
0.000147 0.000022 0.000091 0.000008 0.00033 0.00011
0.000105 0.000008 0.0000425 0.0000013 0.00019 0.00003
