#Feld-Nr,e,f,g
1,48.4,8.5,4.2
2,43.9,9.3,5.5
3,21.9,8.5,7.7
4,8.5,6.5,6.9
5,117.0,14.7,5.8
6,130,16.2,9.1
7,99.2,13.0,17.0
8,55.8,8.8,21.6
9,227,78.6,21.5
10,260,86.2,15.2
11,214,71.9,16.2
12,92.3,13.8,39.8
13,136,24.1,50.7
14,200,54.6,39.8
15,198,87.0,20.7
16,99.1,49.7,10.4
17,8.5,10.2,30.3
18,17.7,13.0,52.4
19,25.0,11.8,54.8
20,10.4,7.7,25.8
