Feld-Nr,e,f,g
1,1.4,0.24,0.12
2,1.2,0.3,0.15
3,0.6,0.24,0.22
4,0.24,0.18,0.19
5,3,0.4,0.16
6,4,0.5,0.3
7,3,0.4,0.5
8,1.6,0.25,0.6
9,6,2.2,0.6
10,7,2.4,0.4
11,6,2.0,0.5
12,3,0.4,1.1
13,4,0.7,1.4
14,6,1.5,1.1
15,6,2.4,0.6
16,3,1.4,0.3
17,0.24,0.3,0.8
18,0.5,0.4,1.5
19,0.7,0.3,1.5
20,0.3,0.22,0.7
