#Feld-Nr,e,f,g
1.00,48.4,8.50,4.20
2.00,43.9,9.3,5.50
3.00,21.9,8.50,7.70
4.00,8.50,6.50,6.90
5.00,117,14.7,5.80
6.00,130,16.2,9.1
7.00,99,13.0,17.0
8.00,55.8,8.80,21.6
9.0,227,78.6,21.5
10.0,260,86.2,15.2
11.0,214,71.9,16.2
12.0,92,13.8,39.8
13.0,136,24.1,50.7
14.0,200,54.6,39.8
15.0,198,87.0,20.7
16.0,99,49.7,10.4
17.0,8.50,10.2,30.3
18.0,17.7,13.0,52.4
19.0,25.0,11.8,54.8
20.0,10.4,7.70,25.8
