z,err_z,1+y,err_1+y
3.6956521739,0.0729688433,13.55,0.0707106781
3.7826086957,0.0744955028,15.2,0.0707106781
3.8695652174,0.076038508,16.2,0.0707106781
3.7826086957,0.0744955028,15.9,0.0707106781
3.2608695652,0.0656202456,13.4,0.0707106781
3.347826087,0.067047818,14.25,0.0707106781
3.5217391304,0.06996883,15.7,0.0707106781
3.3913043478,0.0677701012,14.8,0.0707106781
2.9565217391,0.0608228754,12.2,0.0707106781
2.9565217391,0.0608228754,11.3,0.0707106781
