#H_Fe	err_H_Fe	B[mT]	err_B[mT]
1523.208203	114.7997751	813	24.39
1435.276002	112.1421217	796	23.88
1356.777764	109.5310782	779	23.37
1319.676754	107.8377984	767.5	23.025
1309.917994	106.9308369	761	22.83
1217.881502	104.9298954	749	22.47
1084.122982	101.1614659	725	21.75
1018.587216	98.3548709	706	21.18
1017.553764	96.8843087	695	20.85
1034.044745	96.4205613	691	20.73
1037.573254	96.1690252	689	20.67
1037.573254	96.1690252	689	20.67
1037.573254	96.1690252	689	20.67
994.3158068	95.4543939	685	20.55
890.4684082	92.8940726	669	20.07
866.1379426	91.1273902	656.5	19.695
808.8845728	89.1629633	643.5	19.305
748.8704039	86.9233701	628.5	18.855
715.105976	85.1216937	616	18.48
662.8574786	82.9830039	601.5	18.045
603.4190924	80.3515875	583.5	17.505
536.2150347	77.6283873	565	16.95
505.5952608	75.8436936	552.5	16.575
462.9726532	73.6154057	537	16.11
402.0579037	70.9239534	518.5	15.555
338.1904276	68.0934087	499	14.97
291.9064403	65.1235302	478	14.34
249.8596153	62.5054886	459.5	13.785
225.7210772	60.6168272	446	13.38
188.103342	58.2178531	429	12.87
146.2484445	55.4729856	409.5	12.285
119.3491074	53.3117554	394	11.82
78.7786456	50.7781752	376	11.28
8.6809183	46.8283297	348	10.44
-59.1136787	41.2868917	308	9.24
-92.7599927	37.2476379	278.5	8.355
-124.9299434	33.2868217	249.5	7.485
-153.0546594	29.8133116	224	6.72
-167.5082508	26.7057287	201	6.03
-203.2067106	23.046779	174	5.22
-231.1394991	19.4919406	147.5	4.425
-257.0201416	15.651259	118.5	3.555
-273.3339514	12.8548851	97	2.91
-265.2582385	10.5948029	79.5	2.385
-248.3834029	9.800816	73.5	2.205
-235.2290039	9.3953913	70.5	2.115
-230.2241315	9.1954893	69	2.07
-226.8875499	9.0622214	68	2.04
-222.074605	8.9901429	67.5	2.025
-223.5509683	8.9289534	67	2.01
-221.8826775	8.8623194	66.5	1.995
-221.8826775	8.8623194	66.5	1.995
-221.8826775	8.8623194	66.5	1.995
-221.8826775	8.8623194	66.5	1.995
-220.2143867	8.7956854	66	1.98
-220.2143867	8.7956854	66	1.98
-220.2143867	8.7956854	66	1.98
-226.5036948	8.8071339	66	1.98
-217.0697326	8.790243	66	1.98
-220.2143867	8.7956854	66	1.98
-218.5460959	8.7290515	65.5	1.965
-220.2143867	8.7956854	66	1.98
-220.2143867	8.7956854	66	1.98
-226.5036948	8.8071339	66	1.98
-220.2143867	8.7956854	66	1.98
-220.2143867	8.7956854	66	1.98
-223.3590408	8.8013158	66	1.98
-223.3590408	8.8013158	66	1.98
-220.2143867	8.7956854	66	1.98
-220.2143867	8.7956854	66	1.98
-223.3590408	8.8013158	66	1.98
-217.0697326	8.790243	66	1.98
-217.0697326	8.790243	66	1.98
-220.2143867	8.7956854	66	1.98
-217.0697326	8.790243	66	1.98
-220.2143867	8.7956854	66	1.98
-213.9250785	8.784989	66	1.98
-223.3590408	8.8013158	66	1.98
-217.0697326	8.790243	66	1.98
-220.2143867	8.7956854	66	1.98
-217.0697326	8.790243	66	1.98
-220.2143867	8.7956854	66	1.98
-220.2143867	8.7956854	66	1.98
-220.2143867	8.7956854	66	1.98
-263.4718338	8.3942439	62	1.86
-286.7097912	7.2779978	52	1.56
-301.7982221	6.0852329	40.5	1.215
-316.6947255	5.0346967	28	0.84
-349.3075882	4.4944488	9.5	0.285
-372.6784163	5.1771682	-8	0.24
-408.9526587	7.4660959	-32	0.96
