lambda^-2,err_lambda^-2,n,err_n
3.86617443791519e-06,1.52038e-15,0.9731770752874161,0.015677999770667618
2.41604706082771e-06,7.5108e-16,0.5690438368032613,0.029941856360124277
2.98231057157439e-06,1.03005e-15,0.7605544338499992,0.025563156260853755
3.00405991247102e-06,1.04134e-15,0.7893805390369187,0.024656700043810507
3.35341620073676e-06,1.22818e-15,0.8674491534590553,0.021704713078091173
4.34045862833675e-06,1.80856e-15,1.028662590712108,0.009461099910110309
4.56941915290617e-06,1.95354e-15,1.0384423399827498,0.006595411964735377
5.26460458313869e-06,2.4159e-15,0.9787857641952384,0.00883444568533973
6.10688083540097e-06,3.01828e-15,0.7599001818420413,0.020286067933627683
