#H err_H B err_B
-0.0024060000 0.0000722000 -1768335.7876982584 14865.8136614970
-0.0024075000 0.0000722000 -1774625.0908694866 14918.4233381521
-0.0024075000 0.0000722000 -1774625.0908694866 14918.4233381521
-0.0024060000 0.0000722000 -1770432.2237569585 14883.3501314535
-0.0024075000 0.0000722000 -1767287.5646640358 14857.0454234004
-0.0024075000 0.0000722000 -1767287.5646640358 14857.0454234004
-0.0024075000 0.0000722000 -1772528.6548107862 14900.8866625538
-0.0024075000 0.0000722000 -1770432.2187520862 14883.3500895949
-0.0024195000 0.0000726000 -1772528.6147718069 14900.8863277046
-0.0024255000 0.0000728000 -1779866.1209577681 14962.2649715425
-0.0024525000 0.0000736000 -1789299.9931342152 15041.1816553381
-0.0024825000 0.0000745000 -1802926.7274183182 15155.1762313845
-0.0024885000 0.0000747000 -1810264.2336042793 15216.5599227989
-0.0025140000 0.0000754000 -1819698.1107855989 15295.4830483190
-0.0025515000 0.0000765000 -1831228.3839866396 15391.9470761887
-0.0025785000 0.0000774000 -1839614.0381337367 15462.1045128673
-0.0025980000 0.0000779000 -1857433.6795693471 15611.1949784761
-0.0026175000 0.0000785000 -1865819.3587408063 15681.3571522905
-0.0026280000 0.0000788000 -1863722.8876479992 15663.8160468734
-0.0026490000 0.0000795000 -1871060.3437852359 15725.2086886143
-0.0026655000 0.0000800000 -1883638.9050838405 15830.4562435733
-0.0026835000 0.0000805000 -1890976.3712308221 15891.8518439272
-0.0026970000 0.0000809000 -1899362.0704217711 15962.0197101823
-0.0026985000 0.0000810000 -1897265.6293581985 15944.4774816067
-0.0027015000 0.0000810000 -1903554.9275245543 15997.1042082154
-0.0027015000 0.0000810000 -1901458.4914658540 15979.5618547811
-0.0027030000 0.0000811000 -1900410.2684316316 15970.7906673900
-0.0027045000 0.0000811000 -1899362.0453974090 15962.0195008340
-0.0027030000 0.0000811000 -1905651.3585783821 16014.6466027347
-0.0027060000 0.0000812000 -1900410.2584218867 15970.7905836516
-0.0027030000 0.0000811000 -1904603.1405490320 16005.8753741898
-0.0027030000 0.0000811000 -1898313.8323729313 15953.2484388969
-0.0027030000 0.0000811000 -1899362.0504022816 15962.0195427059
-0.0027060000 0.0000812000 -1899362.0403925367 15962.0194589678
-0.0027030000 0.0000811000 -1900410.2684316316 15970.7906673900
-0.0027060000 0.0000812000 -1898313.8223631866 15953.2483551589
-0.0027045000 0.0000811000 -1907747.7896322098 16032.1890799276
-0.0027045000 0.0000811000 -1899362.0453974090 15962.0195008340
-0.0027045000 0.0000811000 -1900410.2634267593 15970.7906255180
-0.0027030000 0.0000811000 -1906699.5766077321 16023.4178519496
-0.0027030000 0.0000811000 -1899362.0504022816 15962.0195427059
-0.0027045000 0.0000811000 -1899362.0453974090 15962.0195008340
-0.0027045000 0.0000811000 -1906699.5716028598 16023.4178100769
-0.0027030000 0.0000811000 -1907747.7946370824 16032.1891218003
-0.0027045000 0.0000811000 -1900410.2634267593 15970.7906255180
-0.0027030000 0.0000811000 -1899362.0504022816 15962.0195427059
-0.0027060000 0.0000812000 -1899362.0403925367 15962.0194589678
-0.0027045000 0.0000811000 -1907747.7896322098 16032.1890799276
-0.0027060000 0.0000812000 -1903554.9125099371 15997.1040826098
-0.0027060000 0.0000812000 -1907747.7846273375 16032.1890380605
-0.0027075000 0.0000812000 -1904603.1255344148 16005.8752485782
-0.0027240000 0.0000817000 -1914037.0327449690 16084.8165861766
-0.0027435000 0.0000823000 -1921374.4938870782 16146.2163618992
-0.0027540000 0.0000826000 -1925567.3309703716 16181.3024104012
-0.0027690000 0.0000831000 -1927663.7169803476 16198.8452828433
-0.0027750000 0.0000832000 -1925567.2609021578 16181.3018241953
-0.0027825000 0.0000835000 -1936049.4161712967 16269.0188669413
-0.0027900000 0.0000837000 -1940242.2632643350 16304.1061122442
-0.0027975000 0.0000839000 -1940242.2382399729 16304.1059028777
-0.0028020000 0.0000841000 -1945483.3133721061 16347.9655360974
-0.0028035000 0.0000841000 -1947579.7444259338 16365.5095339930
-0.0028020000 0.0000841000 -1938145.7871666553 16286.5620106266
-0.0028035000 0.0000841000 -1937097.5641324329 16277.7901148953
-0.0028050000 0.0000842000 -1947579.7394210615 16365.5094921224
-0.0028050000 0.0000842000 -1938145.7771569104 16286.5619268816
-0.0028035000 0.0000841000 -1948627.9624552841 16374.2815829475
-0.0028050000 0.0000842000 -1943386.8673036611 16330.4214903043
-0.0028050000 0.0000842000 -1943386.8673036611 16330.4214903043
-0.0028050000 0.0000842000 -1942338.6492743110 16321.6495385061
-0.0028050000 0.0000842000 -1943386.8673036611 16330.4214903043
-0.0028050000 0.0000842000 -1938145.7771569104 16286.5619268816
-0.0028065000 0.0000842000 -1944435.0803281388 16339.1934197205
-0.0028065000 0.0000842000 -1939193.9901813881 16295.3337585138
-0.0028050000 0.0000842000 -1940242.2132156107 16304.1056935170
-0.0028050000 0.0000842000 -1948627.9574504115 16374.2815410768
-0.0028050000 0.0000842000 -1939193.9951862607 16295.3338003893
-0.0028035000 0.0000841000 -1940242.2182204830 16304.1057353868
-0.0028050000 0.0000842000 -1942338.6492743110 16321.6495385061
-0.0028050000 0.0000842000 -1938145.7771569104 16286.5619268816
-0.0028050000 0.0000842000 -1947579.7394210615 16365.5094921224
-0.0028050000 0.0000842000 -1948627.9574504115 16374.2815410768
-0.0028050000 0.0000842000 -1948627.9574504115 16374.2815410768
-0.0028050000 0.0000842000 -1941290.4312449608 16312.8776062331
-0.0028050000 0.0000842000 -1939193.9951862607 16295.3338003893
-0.0028050000 0.0000842000 -1940242.2132156107 16304.1056935170
-0.0028065000 0.0000842000 -1946531.5163868389 16356.7374206606
-0.0028260000 0.0000848000 -1946531.4513234973 16356.7368763055
-0.0028440000 0.0000853000 -1949676.0453530787 16383.0525206461
-0.0028530000 0.0000856000 -1959109.9775879951 16462.0017490986
-0.0028575000 0.0000857000 -1967495.7068081787 16532.1802335190
-0.0028605000 0.0000858000 -1960158.1705929830 16470.7737996925
-0.0028650000 0.0000859000 -1960158.1555783658 16470.7736740666
-0.0028755000 0.0000863000 -1963302.7746323091 16497.0902747281
-0.0028845000 0.0000865000 -1967495.6167204750 16532.1794797635
-0.0028965000 0.0000869000 -1970640.2307695458 16558.4964343664
-0.0029070000 0.0000872000 -1985315.2481463405 16681.3123717309
-0.0029085000 0.0000873000 -1979025.9349653674 16628.6763589027
-0.0029100000 0.0000873000 -1984267.0201072455 16672.5395802600
-0.0029130000 0.0000874000 -1984267.0100975006 16672.5394965073
-0.0029160000 0.0000875000 -1988459.8722051561 16707.6303532463
-0.0029385000 0.0000882000 -1987411.5791027197 16698.8569625955
-0.0029580000 0.0000887000 -1997893.6943328793 16786.5848588757
-0.0029625000 0.0000889000 -1995797.2432595617 16769.0389006255
-0.0029730000 0.0000892000 -1999990.0803428551 16804.1303445119
-0.0029805000 0.0000894000 -2003134.7094065433 16830.4491258496
-0.0029880000 0.0000896000 -2011520.4286169822 16900.6336732271
-0.0029895000 0.0000897000 -2009423.9875534095 16883.0873360900
-0.0029820000 0.0000895000 -2015713.3207538722 16935.7266420922
-0.0029700000 0.0000891000 -2013616.9247341515 16918.1805413850
-0.0029535000 0.0000886000 -2002086.5814648969 16821.6768649002
-0.0029250000 0.0000877000 -1998942.0224694225 16795.3587234332
-0.0029235000 0.0000877000 -1994749.1553568947 16760.2671001185
-0.0029265000 0.0000878000 -1998942.0174645502 16795.3586815585
-0.0029310000 0.0000879000 -1995797.3483618826 16769.0397800503
-0.0029340000 0.0000880000 -1996845.5563814880 16777.8126036202
-0.0029325000 0.0000880000 -2007327.7416798614 16865.5427027768
-0.0029325000 0.0000880000 -2001038.4335037607 16812.9044542735
-0.0029340000 0.0000880000 -1997893.7744108380 16786.5855289203
-0.0029340000 0.0000880000 -2007327.7366749889 16865.5426608956
-0.0029340000 0.0000880000 -2002086.6465282384 16821.6774093143
-0.0029340000 0.0000880000 -2003134.8645575885 16830.4504240712
-0.0029355000 0.0000881000 -2001038.4234940158 16812.9043705180
-0.0029265000 0.0000878000 -2006279.5436700010 16856.7697844694
-0.0029010000 0.0000870000 -1994749.2304299809 16760.2677282803
-0.0028770000 0.0000863000 -1996845.7465666400 16777.8141949756
-0.0028575000 0.0000857000 -1982170.7592190800 16654.9956854853
-0.0028425000 0.0000853000 -1988460.1174439050 16707.6324052252
-0.0028260000 0.0000848000 -1984267.3003801012 16672.5419253610
-0.0028080000 0.0000842000 -1980074.4883211697 16637.4517804563
-0.0027930000 0.0000838000 -1974833.4482231436 16593.5893049354
-0.0027720000 0.0000832000 -1965399.5560272066 16514.6378545681
-0.0027540000 0.0000826000 -1960158.5259389251 16470.7767728048
-0.0027420000 0.0000823000 -1967496.0921833552 16532.1834579375
-0.0027330000 0.0000820000 -1965399.6861538896 16514.6389433292
-0.0027105000 0.0000813000 -1955965.7989628250 16435.6890615742
-0.0026835000 0.0000805000 -1944435.4907276775 16339.1968533539
-0.0026625000 0.0000799000 -1942339.1247371912 16321.6535164803
-0.0026340000 0.0000790000 -1940242.7837710672 16304.1104670671
-0.0026145000 0.0000784000 -1931857.1045996076 16233.9364174432
-0.0025980000 0.0000779000 -1919278.5433010031 16128.6773735062
-0.0025785000 0.0000774000 -1914037.5182175941 16084.8206476678
-0.0025590000 0.0000768000 -1914037.5832809357 16084.8211919939
-0.0025455000 0.0000764000 -1912989.4102954373 16076.0501758674
-0.0025275000 0.0000758000 -1900410.8540017053 15970.7955661533
-0.0025140000 0.0000754000 -1899362.6810162070 15962.0248182874
-0.0025080000 0.0000752000 -1899362.7010356965 15962.0249857666
-0.0024990000 0.0000750000 -1892025.2048594805 15900.6279505365
-0.0024795000 0.0000744000 -1892025.2699228220 15900.6284948379
-0.0024525000 0.0000736000 -1879446.7436583242 15795.3791715248
-0.0024390000 0.0000732000 -1871061.0444673754 15725.2145500009
-0.0024255000 0.0000728000 -1864771.7813351266 15672.5920939982
-0.0024150000 0.0000725000 -1860578.9442518330 15637.5109390936
-0.0023955000 0.0000719000 -1863723.6634032249 15663.8225361686
-0.0023760000 0.0000713000 -1855337.9842317656 15593.6607174621
-0.0023580000 0.0000707000 -1848000.5180847840 15532.2703270510
-0.0023370000 0.0000701000 -1831229.0996833963 15391.9530626178
