B I
-2,805 -927
-2,805 -927
-2,805 -926,5
-2,805 -927
-2,805 -924,5
-2,8065 -927,5
-2,8065 -925
-2,805 -925,5
-2,805 -929,5
-2,805 -925
-2,8035 -925,5
-2,805 -926,5
-2,805 -924,5
-2,805 -929
-2,805 -929,5
-2,805 -929,5
-2,805 -926
-2,805 -925
-2,805 -925,5
-2,8065 -928,5
-2,826 -928,5
-2,844 -930
-2,853 -934,5
-2,8575 -938,5
-2,8605 -935
-2,865 -935
-2,8755 -936,5
-2,8845 -938,5
-2,8965 -940
-2,907 -947
-2,9085 -944
-2,91 -946,5
-2,913 -946,5
-2,916 -948,5
-2,9385 -948
-2,958 -953
-2,9625 -952
-2,973 -954
-2,9805 -955,5
-2,988 -959,5
-2,9895 -958,5
-2,982 -961,5
-2,97 -960,5
-2,9535 -955
-2,925 -953,5
-2,9235 -951,5
-2,9265 -953,5
-2,931 -952
-2,934 -952,5
-2,9325 -957,5
-2,9325 -954,5
-2,934 -953
-2,934 -957,5
-2,934 -955
-2,934 -955,5
-2,9355 -954,5
-2,9265 -957
-2,901 -951,5
-2,877 -952,5
-2,8575 -945,5
-2,8425 -948,5
-2,826 -946,5
-2,808 -944,5
-2,793 -942
-2,772 -937,5
-2,754 -935
-2,742 -938,5
-2,733 -937,5
-2,7105 -933
-2,6835 -927,5
-2,6625 -926,5
-2,634 -925,5
-2,6145 -921,5
-2,598 -915,5
-2,5785 -913
-2,559 -913
-2,5455 -912,5
-2,5275 -906,5
-2,514 -906
-2,508 -906
-2,499 -902,5
-2,4795 -902,5
-2,4525 -896,5
-2,439 -892,5
-2,4255 -889,5
-2,415 -887,5
-2,3955 -889
-2,376 -885
-2,358 -881,5
-2,337 -873,5
-2,3205 -871
-2,3025 -868
-2,286 -867
-2,2635 -864,5
-2,247 -860,5
-2,2305 -855,5
-2,2215 -855
-2,2125 -852
-2,196 -850
-2,1795 -846,5
-2,16 -841,5
-2,1405 -839
-2,1255 -832,5
-2,115 -831
-2,103 -829
-2,0835 -825,5
-2,0685 -821,5
-2,04 -816,5
-2,0325 -811
-2,0205 -808,5
-2,0085 -805
-2,001 -803
-1,9845 -800,5
-1,9635 -796
-1,947 -793
-1,9275 -786,5
-1,9125 -782,5
-1,9005 -779,5
-1,887 -777
-1,8765 -774
-1,869 -771
-1,8555 -768,5
-1,8345 -764,5
-1,818 -759
-1,785 -752,5
-1,752 -744
-1,7325 -737,5
-1,71 -731
-1,695 -726,5
-1,6785 -721
-1,68 -719,5
-1,6725 -718
-1,6725 -717
-1,6665 -715,5
-1,6215 -707,5
-1,557 -692,5
-1,518 -679
-1,5105 -672,5
-1,509 -670,5
-1,5015 -668,5
-1,4895 -665,5
-1,4625 -659
-1,4385 -652
-1,4145 -645
-1,401 -639,5
-1,3905 -636
-1,3815 -632,5
-1,3665 -628,5
-1,3575 -624,5
-1,3485 -621,5
-1,3395 -619
-1,3305 -616,5
-1,3185 -613
-1,314 -610
-1,296 -606
-1,29 -603
-1,281 -600,5
-1,2765 -598,5
-1,26 -593,5
-1,2495 -591
-1,2405 -588
-1,2345 -585,5
-1,224 -582
-1,2135 -579
-1,2075 -576,5
-1,203 -574
