B I
0,648 381,5
0,648 380,5
0,6465 380,5
0,6465 380,5
0,6465 380,5
0,645 380
0,645 380
0,6375 378,5
0,636 377
0,633 376
0,6225 373,5
0,621 371,5
0,618 369
0,612 367
0,6045 364,5
0,6015 363
0,597 360,5
0,5925 358,5
0,585 356,5
0,5835 355
0,5775 353
0,5685 349,5
0,5595 346,5
0,555 343,5
0,549 340
0,5445 339
0,543 338
0,546 337
0,5415 336,5
0,5355 335
0,531 332,5
0,5265 331
0,525 330
0,5205 328,5
0,5175 326,5
0,5145 324,5
0,51 323
0,507 321,5
0,5025 320
0,4995 318,5
0,4965 317
0,495 315,5
0,4935 315
0,4875 313
0,4845 311,5
0,4785 309
0,4725 306,5
0,4725 305
0,462 302,5
0,4575 299,5
0,4515 296
0,447 294
0,444 292,5
0,4425 291,5
0,438 291
0,4335 288,5
0,4245 284,5
0,4155 281,5
0,411 277,5
0,4035 274,5
0,399 272,5
0,3975 271
0,3915 268,5
0,387 266,5
0,384 264,5
0,378 262
0,3735 259,5
0,369 257,5
0,3645 256
0,3615 254,5
0,357 252
0,354 250
0,3495 248,5
0,3465 245,5
0,336 242
0,3255 236,5
0,3165 232,5
0,3135 231
0,3105 229,5
0,306 227,5
0,2955 223
0,2925 220
0,2830 217
0,2835 215
0,2805 214
0,279 212,5
0,2745 211
0,273 210
0,2715 208,5
0,264 206,5
0,261 204,5
0,2565 201,5
0,2445 196,5
0,237 193,5
0,234 191
0,2265 188,5
0,2235 185
0,2175 183,5
0,219 182,5
0,213 180,5
0,207 178
0,2055 176,5
0,204 175,5
0,2025 174,5
0,189 169,5
0,1785 165
0,1755 162
0,174 160,5
0,1725 159,5
0,1695 158,5
0,165 157
0,1575 154
0,1455 148,5
0,135 143
0,117 134,5
0,1125 131
0,1095 129
0,105 127
0,102 125
0,1005 124
0,0975 122
0,09 120
0,0915 118,5
0,0825 117
0,084 114,5
0,0825 113,5
0,0795 112,5
0,075 111
0,066 107
0,063 104,5
0,0555 102
0,054 101
0,0495 99
0,051 98
0,039 95,5
0,0375 92
0,0315 90
0,03 88,5
0,027 86
0,0195 85
0,0075 78
0,009 77
0,0075 76
0,009 76
0,006 75,5
0,006 75
0,003 74
-0,0015 73
0 72,5
0 72
0 72
0,0015 72
0 71,5
0,0015 71,5
0,0015 72
0 72
-0,0015 71,5
0,0015 71,5
0,0015 72
0 71,5
0 71,5
0 71,5
0,0015 71,5
0,0015 71,5
0 71,5
0 71,5
-0,0015 71,5
-0,0015 72
0 72
0 71,5
0 71,5
-0,0015 72
0,0015 71,5
0,0015 71,5
0 72
0 71,5
0 71,5
0,0015 71,5
-0,0015 72
0,0015 71,5
0 71,5
0 71,5
-0,0015 71,5
0,0015 71,5
0 71,5
0 71,5
0 72
0,0015 71,5
0 71,5
-0,0015 71,5
0,0015 71,5
-0,0015 71,5
0 72
0 71,5
0 71,5
0 71,5
0,0015 72
0,0015 71,5
0,0015 71,5
0,0015 71,5
0 71,5
-0,0015 71,5
0 71,5
0 71,5
0 71,5
0,0015 71,5
0 71,5
0 71,5
0,0015 71,5
-0,0015 71,5
0 71,5
-0,0015 71,5
0,0015 71,5
0 71,5
0 71,5
0 71,5
0 71,5
0 72
0 71,5
0,0015 71,5
0,0015 71,5
-0,0015 71,5
0 71,5
0 71,5
0,0015 71,5
0,0015 71,5
-0,0015 71,5
0,0015 71,5
-0,0015 71,5
0,0015 72
0 71,5
0,0015 71,5
-0,0015 71,5
0,0015 71,5
0 72
0 71,5
0,0015 71,5
-0,0015 71,5
-0,0015 71,5
0 71,5
-0,0015 71,5
0 71,5
0 72
0 71,5
0,0015 71,5
0 71,5
0 71,5
0 71,5
0 71,5
0,0015 71,5
0,0015 71,5
-0,0015 71,5
-0,0015 71,5
0 71,5
0 72
0,0015 71,5
0 72
0 71,5
-0,0015 71,5
0 71,5
-0,0015 71,5
0 71,5
0 71,5
-0,0015 71,5
-0,006 70,5
-0,0105 68,5
-0,0105 67,5
-0,012 67
-0,009 67
-0,0165 66
-0,0255 62,5
-0,0345 57,5
-0,0375 55,5
-0,039 54,5
-0,0405 53
-0,0465 50,5
-0,0495 48,5
-0,0525 47,5
-0,0555 46
-0,057 45
-0,06 44
-0,0645 42
-0,0645 41
-0,0645 40,5
-0,0675 39,5
-0,072 38,5
-0,0735 36,5
-0,075 36
-0,0765 35
-0,081 33,5
-0,081 32,5
-0,081 32
-0,0825 32
-0,084 31
-0,087 30,5
-0,09 29,5
-0,09 28
-0,093 27
-0,093 26
-0,0945 25,5
-0,0975 24,5
-0,0975 23,5
-0,1005 23
-0,102 22
-0,1035 21
-0,105 20,5
-0,108 19,5
-0,1155 16,5
-0,129 10
-0,1395 5
-0,144 2,5
-0,147 0,5
-0,15 -0,5
-0,153 -2,5
-0,156 -5
-0,162 -6,5
-0,165 -8
-0,1665 -9,5
-0,171 -11
-0,1755 -13,5
-0,1815 -16
-0,189 -19,5
-0,195 -23
-0,201 -25,5
-0,2055 -28
-0,2115 -31
-0,219 -34,5
-0,2205 -36
-0,225 -38
-0,2295 -39,5
-0,231 -41
-0,237 -43
-0,24 -45,5
-0,243 -47,5
-0,243 -48
-0,246 -48,5
-0,246 -50
-0,249 -50,5
-0,2505 -51
-0,2535 -52,5
-0,255 -53,5
-0,258 -55
-0,2595 -56
-0,2595 -56,5
-0,261 -56,5
-0,2625 -57,5
-0,2625 -58
-0,264 -58,5
-0,264 -59,5
-0,2685 -60
-0,2715 -61,5
-0,2745 -63
-0,276 -64
-0,276 -65
-0,2775 -65,5
-0,2775 -66
-0,2805 -67
-0,2835 -68
-0,285 -69
-0,2895 -70,5
-0,2925 -72,5
-0,2985 -74
-0,3 -75,5
-0,3015 -77
-0,3045 -78,5
-0,306 -79,5
-0,312 -81
-0,3135 -82,5
-0,3165 -83,5
-0,318 -85
-0,3195 -85,5
-0,321 -86,5
-0,3255 -88
-0,33 -89,5
-0,336 -92,5
-0,3405 -94,5
-0,3435 -96,5
-0,3495 -99
-0,351 -101
-0,354 -102,5
-0,36 -104,5
-0,369 -108
-0,372 -110,5
-0,3765 -111,5
-0,375 -113
-0,3795 -114
-0,384 -116
-0,3915 -118
-0,396 -121
-0,402 -124
-0,408 -126,5
-0,4125 -128,5
-0,414 -130
-0,414 -131
-0,4185 -132,5
-0,423 -134
-0,4305 -137
-0,438 -141,5
-0,444 -144
-0,447 -146
-0,4515 -148
-0,459 -151
-0,468 -155
-0,474 -158
-0,4815 -161,5
-0,4905 -165
-0,4995 -170
-0,51 -173,5
-0,516 -177,5
-0,5205 -180
-0,525 -183
-0,531 -185
-0,5325 -187
-0,537 -188,5
-0,5445 -192
-0,5505 -195
-0,5535 -196,5
-0,555 -198
-0,5565 -198,5
-0,5595 -200
-0,564 -201,5
-0,5655 -203
-0,5685 -204
-0,57 -205,5
-0,5745 -207
-0,582 -210
-0,585 -212
-0,5895 -213,5
-0,5925 -215,5
-0,594 -216,5
-0,6 -218,5
-0,6105 -221,5
-0,621 -227
-0,6285 -231
-0,6345 -234
-0,6345 -235
-0,6345 -236
-0,636 -236,5
-0,636 -237
-0,636 -237,5
-0,6405 -238
-0,648 -239
-0,6615 -245
-0,6675 -249
-0,6765 -252
-0,69 -258,5
-0,702 -263
-0,7035 -266,5
-0,705 -267,5
-0,7065 -268
-0,7125 -270
-0,7185 -272
-0,7215 -274,5
-0,726 -276
-0,729 -278
-0,7335 -279,5
-0,7335 -280,5
-0,735 -282
-0,744 -284
-0,744 -285,5
-0,7425 -285,5
-0,7425 -286
-0,744 -286
-0,744 -286,5
-0,7425 -286
-0,744 -286,5
-0,7455 -286,5
-0,7455 -287
-0,753 -289,5
-0,7665 -293
-0,78 -298
-0,7845 -302
-0,7965 -306
-0,807 -310,5
-0,8175 -315
-0,831 -320
-0,837 -324
-0,84 -326
-0,8445 -328
-0,8475 -330,5
-0,858 -333,5
-0,864 -336,5
-0,87 -339,5
-0,888 -345,5
-0,8955 -349
-0,9 -352
-0,906 -355
-0,9135 -357,5
-0,921 -360,5
-0,927 -363,5
-0,93 -365,5
-0,936 -368
-0,9405 -370
-0,9435 -371,5
-0,948 -373,5
-0,9525 -375
-0,96 -378
-0,969 -381,5
-0,972 -383,5
-0,975 -385
-0,975 -386
-0,978 -387
-0,9795 -388
-0,984 -389
-0,987 -390,5
-0,9915 -392
-0,9945 -393,5
-0,9975 -395
-0,999 -396
-1,0035 -397
-1,008 -398,5
-1,0095 -400,5
-1,0125 -401
-1,017 -403
-1,0215 -404
-1,0245 -406
-1,032 -408
-1,0305 -409,5
-1,035 -411
-1,038 -411,5
-1,0395 -412,5
-1,0425 -413,5
-1,0425 -414,5
-1,047 -415,5
-1,05 -416,5
-1,05 -417,5
-1,053 -418,5
-1,0575 -420
-1,0605 -421
-1,062 -421,5
-1,062 -422
-1,0635 -422,5
-1,065 -423,5
-1,0665 -424,5
-1,071 -425,5
-1,0725 -426
-1,0725 -426,5
-1,074 -427
-1,077 -427,5
-1,077 -428
-1,0785 -429
-1,0815 -430
-1,0875 -431
-1,0905 -432,5
-1,095 -434,5
-1,0965 -435,5
-1,0995 -436,5
-1,101 -438
-1,1055 -439
-1,1085 -440,5
-1,1115 -441,5
-1,1145 -442,5
-1,119 -444
-1,125 -446,5
-1,128 -448,5
-1,1355 -450,5
-1,1415 -452,5
-1,1445 -454
-1,1475 -455,5
-1,1505 -457
-1,155 -458,5
-1,1595 -460
-1,1625 -461,5
-1,167 -463
-1,17 -464,5
-1,173 -465,5
-1,179 -467
-1,179 -468,5
-1,182 -469,5
-1,1835 -470,5
-1,188 -471,5
-1,188 -472
-1,1895 -472,5
-1,191 -473
-1,191 -473,5
-1,191 -474
-1,1925 -474
-1,194 -474,5
-1,1955 -475
-1,1955 -475
-1,1985 -476
-1,1985 -476,5
-1,2 -477
-1,203 -478
-1,206 -479
-1,206 -479,5
-1,206 -479,5
-1,2075 -480
-1,2075 -480,5
-1,2105 -480,5
-1,2105 -480,5
-1,212 -481
-1,2135 -482
-1,2165 -483
-1,221 -484
-1,2255 -486
-1,23 -487,5
-1,23 -488,5
-1,2315 -489,5
-1,233 -489,5
-1,236 -490
-1,2375 -491
-1,239 -491,5
-1,2405 -492,5
-1,2405 -493
-1,242 -493
-1,242 -493,5
-1,2405 -494
-1,2435 -494
-1,245 -494,5
-1,2495 -495
-1,251 -496
-1,254 -496,5
-1,254 -497,5
-1,254 -497,5
-1,2555 -498
-1,2585 -498
-1,26 -499,5
-1,26 -500
-1,263 -500,5
-1,2615 -501
-1,2615 -501
-1,266 -501,5
-1,266 -501,5
-1,275 -504
-1,272 -504,5
-1,2765 -505,5
-1,2765 -506,5
-1,2825 -507
-1,2795 -507,5
-1,284 -508
-1,284 -508,5
-1,2855 -509
-1,2885 -509,5
-1,287 -510
-1,2885 -510,5
-1,29 -510,5
-1,293 -511,5
-1,293 -512
-1,2975 -513
-1,3005 -514
-1,305 -515
-1,305 -516
-1,308 -517,5
-1,3125 -518,5
-1,3155 -520
-1,32 -521
-1,3215 -521,5
-1,3215 -522,5
-1,323 -523,5
-1,3275 -523,5
-1,326 -524
-1,329 -524,5
-1,3275 -525
-1,3275 -525
-1,3335 -526,5
-1,338 -527,5
-1,344 -529,5
-1,3455 -531
-1,3515 -532,5
-1,3575 -534,5
-1,362 -536
-1,362 -537
-1,374 -540
-1,3845 -543,5
-1,3875 -545,5
-1,392 -547
-1,395 -548
-1,3995 -550,5
-1,404 -551,5
-1,4085 -553
-1,419 -555,5
-1,4295 -559,5
-1,431 -561
-1,4325 -562
-1,434 -563
-1,4385 -564
-1,4505 -567
-1,4625 -570,5
-1,4685 -573,5
-1,4655 -574,5
-1,47 -575
-1,467 -575,5
-1,47 -575,5
-1,467 -575,5
-1,4685 -575,5
-1,467 -575,5
-1,47 -575,5
-1,4685 -575,5
-1,473 -576
-1,4805 -578
-1,494 -582
-1,5075 -586,5
-1,527 -591,5
-1,536 -595,5
-1,554 -600
-1,5645 -604,5
-1,578 -608,5
-1,5855 -612
-1,599 -616
-1,6065 -619,5
-1,614 -621,5
-1,617 -623
-1,6245 -625,5
-1,632 -628,5
-1,641 -630,5
-1,644 -632,5
-1,6515 -634,5
-1,659 -636,5
-1,659 -638
-1,665 -639,5
-1,671 -641
-1,6755 -642,5
-1,6755 -643,5
-1,6845 -645,5
-1,689 -647
-1,6905 -648
-1,695 -649
-1,6965 -650
-1,704 -652
-1,71 -653,5
-1,7115 -655
-1,7175 -656
-1,7205 -657,5
-1,728 -658,5
-1,731 -660,5
-1,737 -662
-1,737 -663
-1,74 -664
-1,7445 -665
-1,749 -666
-1,755 -667,5
-1,761 -669,5
-1,7655 -671
-1,779 -674
-1,785 -677
-1,794 -679,5
-1,8015 -682
-1,809 -684
-1,8165 -686
-1,821 -687,5
-1,827 -689,5
-1,83 -691
-1,833 -692
-1,839 -693,5
-1,8495 -696
-1,857 -698,5
-1,863 -700,5
-1,872 -703
-1,881 -705,5
-1,8855 -707
-1,8885 -708
-1,893 -709,5
-1,902 -711,5
-1,911 -714
-1,914 -716
-1,9185 -717
-1,917 -717,5
-1,92 -718,5
-1,9275 -720
-1,938 -721,5
-1,941 -723,5
-1,9455 -724,5
-1,9455 -725,5
-1,9515 -727
-1,956 -728
-1,9635 -730
-1,9695 -731,5
-1,971 -732,5
-1,9815 -735
-1,989 -736,5
-1,995 -739
-1,9995 -740,5
-2,004 -742
-2,01 -743
-2,0145 -744,5
-2,016 -745,5
-2,0265 -747,5
-2,031 -749,5
-2,0385 -751
-2,046 -752,5
-2,0475 -754,5
-2,0595 -756,5
-2,0625 -758,5
-2,073 -760
-2,0775 -762
-2,0805 -763,5
-2,0835 -764
-2,091 -765,5
-2,0955 -767
-2,1075 -769,5
-2,118 -772,5
-2,1255 -775
-2,133 -776,5
-2,1375 -778,5
-2,1405 -780
-2,148 -781,5
-2,154 -782
-2,166 -784
-2,1735 -787
-2,1795 -790
-2,1975 -793,5
-2,2155 -796
-2,2245 -800,5
-2,2395 -804
-2,247 -807,5
-2,256 -809,5
-2,2575 -809,5
-2,265 -812
-2,2695 -812,5
-2,271 -812,5
-2,2755 -813,5
-2,2785 -814
-2,2875 -815,5
-2,2935 -818,5
-2,301 -819
-2,3115 -821
-2,319 -825,5
-2,3295 -827,5
-2,3355 -827
-2,3415 -829
-2,3445 -831,5
-2,352 -830,5
-2,3595 -836
-2,367 -837
-2,3715 -839
-2,376 -840
-2,3805 -841
-2,3865 -842,5
-2,394 -840,5
-2,403 -843
-2,412 -844
-2,415 -845,5
-2,421 -850,5
-2,4285 -850
-2,436 -853
-2,4495 -853
-2,463 -859,5
-2,4705 -859
-2,478 -859,5
-2,4855 -861
-2,49 -862,5
-2,493 -864
-2,496 -866
-2,496 -868,5
-2,5005 -865,5
-2,505 -869,5
-2,5095 -871
-2,5095 -867,5
-2,5125 -868,5
-2,5185 -870
-2,523 -870
-2,5245 -874,5
-2,526 -871
-2,535 -876
-2,5395 -873,5
-2,5455 -875
-2,5485 -878,5
-2,553 -879,5
-2,5545 -879,5
-2,5575 -881,5
-2,5635 -880
-2,5665 -882
-2,5755 -882
-2,5785 -885,5
-2,5875 -886,5
-2,5965 -888
-2,598 -886,5
-2,6025 -890,5
-2,6085 -888
-2,6145 -893,5
-2,6205 -894
-2,628 -891,5
-2,6295 -897
-2,634 -893,5
-2,6325 -895
-2,6385 -894,5
-2,643 -899,5
-2,649 -897
-2,652 -897,5
-2,658 -898,5
-2,6625 -903
-2,6775 -904
-2,6895 -905,5
-2,6955 -907
-2,7045 -908,5
-2,709 -909,5
-2,7195 -913
-2,724 -915
-2,733 -915,5
-2,742 -913,5
-2,748 -915,5
-2,757 -921,5
-2,766 -923,5
-2,7735 -920
-2,7765 -925,5
-2,7825 -924
-2,787 -927,5
-2,7975 -929,5
-2,802 -926
-2,8065 -926,5
-2,814 -927,5
-2,817 -929
-2,8245 -930,5
-2,847 -937,5
-2,8545 -935,5
-2,8665 -939
-2,88 -941,5
-2,892 -946
-2,898 -942,5
-2,901 -943,5
-2,9055 -944
-2,9115 -946
-2,919 -945,5
-2,922 -948
-2,922 -947,5
-2,925 -950,5
-2,922 -951,5
-2,922 -950
-2,922 -947
-2,9235 -948
-2,922 -952
-2,922 -951,5
-2,922 -947
-2,922 -947,5
-2,9205 -948,5
-2,922 -952
-2,922 -947,5
-2,9205 -948
-2,922 -948
-2,922 -949,5
-2,922 -947
-2,9235 -950,5
-2,922 -950
-2,922 -949,5
-2,922 -951,5
-2,922 -947,5
-2,9205 -950,5
-2,922 -947
-2,9205 -948
-2,922 -950,5
-2,922 -948,5
-2,922 -952
-2,9205 -949,5
-2,9205 -951
-2,922 -951,5
-2,9205 -949
-2,922 -947
-2,922 -947,5
-2,9205 -951
-2,9205 -952
-2,9205 -952
-2,9205 -949
-2,9205 -947,5
-2,922 -946,5
-2,9205 -951,5
-2,9205 -950,5
