['[\'[\\\'[\\\\\\\'["[\\\\\\\\\\\\\\', '\'\\\'\\\\\\\'"\\\\\\\\\\\\\\\'B_er', '\'\\\'\\\\\\\'"\\\\\\\\\\\\\\\'I\\\\\\', '\'\\\'"\\\\\\\'err_I\\\\\\\']",', '\'"\\\'l_Fe\\\']",\',', '"\'err_l_Fe\']",', "'d']", 'err_d']
-1.1265 -0.0338 -467.0000 0.5000 0.4770 0.0040 0.0020 0.0001
-1.1280 -0.0338 -467.5000 0.5000 0.4770 0.0040 0.0020 0.0001
-1.1280 -0.0338 -467.5000 0.5000 0.4770 0.0040 0.0020 0.0001
-1.1265 -0.0338 -467.0000 0.5000 0.4770 0.0040 0.0020 0.0001
-1.1265 -0.0338 -467.5000 0.5000 0.4770 0.0040 0.0020 0.0001
-1.1280 -0.0338 -467.0000 0.5000 0.4770 0.0040 0.0020 0.0001
-1.1265 -0.0338 -467.5000 0.5000 0.4770 0.0040 0.0020 0.0001
-1.1265 -0.0338 -467.0000 0.5000 0.4770 0.0040 0.0020 0.0001
-1.1280 -0.0338 -467.0000 0.5000 0.4770 0.0040 0.0020 0.0001
-1.1265 -0.0338 -467.5000 0.5000 0.4770 0.0040 0.0020 0.0001
-1.1265 -0.0338 -467.0000 0.5000 0.4770 0.0040 0.0020 0.0001
-1.1265 -0.0338 -467.0000 0.5000 0.4770 0.0040 0.0020 0.0001
-1.1280 -0.0338 -467.0000 0.5000 0.4770 0.0040 0.0020 0.0001
-1.1280 -0.0338 -467.5000 0.5000 0.4770 0.0040 0.0020 0.0001
-1.1280 -0.0338 -467.5000 0.5000 0.4770 0.0040 0.0020 0.0001
-1.1265 -0.0338 -467.5000 0.5000 0.4770 0.0040 0.0020 0.0001
-1.1265 -0.0338 -467.5000 0.5000 0.4770 0.0040 0.0020 0.0001
-1.1265 -0.0338 -467.5000 0.5000 0.4770 0.0040 0.0020 0.0001
-1.1265 -0.0338 -467.0000 0.5000 0.4770 0.0040 0.0020 0.0001
-1.1265 -0.0338 -467.0000 0.5000 0.4770 0.0040 0.0020 0.0001
-1.1325 -0.0340 -467.5000 0.5000 0.4770 0.0040 0.0020 0.0001
-1.1460 -0.0344 -472.0000 0.5000 0.4770 0.0040 0.0020 0.0001
-1.1805 -0.0354 -481.0000 0.5000 0.4770 0.0040 0.0020 0.0001
-1.2210 -0.0366 -494.0000 0.5000 0.4770 0.0040 0.0020 0.0001
-1.2540 -0.0376 -506.0000 0.5000 0.4770 0.0040 0.0020 0.0001
-1.2825 -0.0385 -516.0000 0.5000 0.4770 0.0040 0.0020 0.0001
-1.3020 -0.0391 -524.0000 0.5000 0.4770 0.0040 0.0020 0.0001
-1.3260 -0.0398 -532.0000 0.5000 0.4770 0.0040 0.0020 0.0001
-1.3500 -0.0405 -539.5000 0.5000 0.4770 0.0040 0.0020 0.0001
-1.3785 -0.0414 -548.5000 0.5000 0.4770 0.0040 0.0020 0.0001
-1.4025 -0.0421 -557.0000 0.5000 0.4770 0.0040 0.0020 0.0001
-1.4190 -0.0426 -563.5000 0.5000 0.4770 0.0040 0.0020 0.0001
-1.4295 -0.0429 -568.0000 0.5000 0.4770 0.0040 0.0020 0.0001
-1.4385 -0.0432 -571.0000 0.5000 0.4770 0.0040 0.0020 0.0001
-1.4430 -0.0433 -573.5000 0.5000 0.4770 0.0040 0.0020 0.0001
-1.4460 -0.0434 -575.0000 0.5000 0.4770 0.0040 0.0020 0.0001
-1.4565 -0.0437 -577.5000 0.5000 0.4770 0.0040 0.0020 0.0001
-1.4655 -0.0440 -580.0000 0.5000 0.4770 0.0040 0.0020 0.0001
-1.4760 -0.0443 -583.5000 0.5000 0.4770 0.0040 0.0020 0.0001
-1.4895 -0.0447 -587.5000 0.5000 0.4770 0.0040 0.0020 0.0001
-1.5000 -0.0450 -591.0000 0.5000 0.4770 0.0040 0.0020 0.0001
-1.5075 -0.0452 -594.0000 0.5000 0.4770 0.0040 0.0020 0.0001
-1.5270 -0.0458 -598.5000 0.5000 0.4770 0.0040 0.0020 0.0001
-1.5390 -0.0462 -602.5000 0.5000 0.4770 0.0040 0.0020 0.0001
-1.5510 -0.0465 -606.5000 0.5000 0.4770 0.0040 0.0020 0.0001
-1.5570 -0.0467 -610.0000 0.5000 0.4770 0.0040 0.0020 0.0001
-1.5675 -0.0470 -612.5000 0.5000 0.4770 0.0040 0.0020 0.0001
-1.5765 -0.0473 -615.5000 0.5000 0.4770 0.0040 0.0020 0.0001
-1.5855 -0.0476 -618.0000 0.5000 0.4770 0.0040 0.0020 0.0001
-1.5960 -0.0479 -621.0000 0.5000 0.4770 0.0040 0.0020 0.0001
-1.6035 -0.0481 -624.0000 0.5000 0.4770 0.0040 0.0020 0.0001
-1.6110 -0.0483 -626.0000 0.5000 0.4770 0.0040 0.0020 0.0001
-1.6155 -0.0485 -628.5000 0.5000 0.4770 0.0040 0.0020 0.0001
