MIN=0	-3	-1000	0	
MAX=320	3	1000	5	
SCALE=100	1	500	1	
DEC=1	3	0	3	
DEF="Zeit" t / s	"Strom" I_A1 / A	"Magn. Flussdichte" B_B1 / mT	"Frequenz" f / Hz	
14,501	-1,7955	-682,5	NAN	
14,601	-1,8	-683,5	NAN	
14,701	-1,8075	-686	NAN	
14,801	-1,815	-688	NAN	
14,901	-1,8225	-690,5	NAN	
15,001	-1,83	-692,5	NAN	
15,101	-1,8405	-694,5	NAN	
15,201	-1,842	-696	NAN	
15,301	-1,839	-696,5	NAN	
15,401	-1,8405	-696,5	NAN	
15,501	-1,8405	-696,5	NAN	
15,601	-1,8405	-697	NAN	
15,701	-1,8405	-697	NAN	
15,801	-1,842	-696,5	NAN	
15,901	-1,839	-697	NAN	
16,001	-1,8405	-697	NAN	
16,101	-1,8405	-697	NAN	
16,201	-1,8405	-697	NAN	
16,301	-1,839	-696,5	NAN	
16,401	-1,8405	-696,5	NAN	
16,501	-1,839	-697	NAN	
16,601	-1,8405	-696,5	NAN	
16,701	-1,8405	-697	NAN	
16,801	-1,8405	-697	NAN	
16,901	-1,839	-697	NAN	
17,001	-1,839	-697	NAN	
17,101	-1,839	-697	NAN	
17,201	-1,842	-697	NAN	
17,301	-1,8405	-697	NAN	
17,401	-1,839	-697	NAN	
17,501	-1,842	-697	NAN	
17,601	-1,839	-696,5	NAN	
17,701	-1,8405	-697	NAN	
17,801	-1,8405	-696,5	NAN	
17,901	-1,839	-697	NAN	
18,001	-1,839	-697	NAN	
18,101	-1,8405	-696,5	NAN	
18,201	-1,8375	-696,5	NAN	
18,301	-1,842	-697	NAN	
18,401	-1,848	-697,5	NAN	
18,501	-1,851	-699,5	NAN	
18,601	-1,8615	-701,5	NAN	
18,701	-1,8735	-704	NAN	
18,801	-1,8885	-708	NAN	
18,901	-1,914	-714,5	NAN	
19,001	-1,9245	-718,5	NAN	
19,101	-1,932	-721	NAN	
19,201	-1,938	-723	NAN	
19,301	-1,941	-724	NAN	
19,401	-1,9575	-727,5	NAN	
19,501	-1,9755	-732,5	NAN	
19,601	-1,9905	-737	NAN	
19,701	-2,004	-740	NAN	
19,801	-2,016	-743	NAN	
19,901	-2,037	-749	NAN	
20,001	-2,0475	-752,5	NAN	
20,101	-2,0505	-754	NAN	
20,201	-2,0535	-755	NAN	
20,301	-2,0565	-756	NAN	
20,401	-2,0565	-757	NAN	
20,501	-2,058	-757	NAN	
20,601	-2,0595	-757	NAN	
20,701	-2,0595	-757,5	NAN	
20,801	-2,058	-757,5	NAN	
20,901	-2,0565	-757	NAN	
21,001	-2,0565	-757,5	NAN	
21,101	-2,0595	-757,5	NAN	
21,201	-2,0565	-757,5	NAN	
21,301	-2,0595	-757,5	NAN	
21,401	-2,058	-757,5	NAN	
21,501	-2,0595	-757,5	NAN	
21,601	-2,058	-757	NAN	
21,701	-2,061	-757,5	NAN	
21,801	-2,058	-757,5	NAN	
21,901	-2,0565	-757,5	NAN	
22,001	-2,058	-757,5	NAN	
22,101	-2,058	-757,5	NAN	
22,201	-2,058	-757,5	NAN	
22,301	-2,0595	-758	NAN	
22,401	-2,058	-757,5	NAN	
22,501	-2,0595	-757,5	NAN	
22,601	-2,0595	-757,5	NAN	
22,701	-2,0595	-757,5	NAN	
22,801	-2,061	-757,5	NAN	
22,901	-2,0865	-761,5	NAN	
23,001	-2,1255	-770,5	NAN	
23,101	-2,1525	-777,5	NAN	
23,201	-2,169	-783,5	NAN	
23,301	-2,1765	-787,5	NAN	
23,401	-2,19	-790	NAN	
23,501	-2,2035	-794	NAN	
23,601	-2,217	-795,5	NAN	
23,701	-2,2275	-800,5	NAN	
23,801	-2,2395	-801,5	NAN	
23,901	-2,2515	-806	NAN	
24,001	-2,2725	-810,5	NAN	
24,101	-2,2935	-815	NAN	
24,201	-2,304	-817	NAN	
24,301	-2,319	-820	NAN	
24,401	-2,328	-825	NAN	
24,501	-2,337	-827,5	NAN	
24,601	-2,3475	-830	NAN	
24,701	-2,3595	-833,5	NAN	
24,801	-2,373	-837	NAN	
24,901	-2,3835	-838,5	NAN	
25,001	-2,388	-840	NAN	
25,101	-2,3955	-841	NAN	
25,201	-2,4105	-844,5	NAN	
25,301	-2,4075	-846,5	NAN	
25,401	-2,4075	-845,5	NAN	
25,501	-2,409	-844,5	NAN	
25,601	-2,4075	-846,5	NAN	
25,701	-2,4075	-844,5	NAN	
25,801	-2,4075	-844	NAN	
25,901	-2,406	-845,5	NAN	
26,001	-2,409	-844	NAN	
26,101	-2,409	-844	NAN	
26,201	-2,4075	-846,5	NAN	
26,301	-2,4075	-846,5	NAN	
26,401	-2,4075	-845,5	NAN	
26,501	-2,4075	-844	NAN	
26,601	-2,4075	-846	NAN	
26,701	-2,4075	-846,5	NAN	
