#H err_H B err_B
1913526531.7233121395 76429170.4134792686 -573.5000000000 17.2050000000
1918531397.8582773209 76629072.3441837281 -575.0000000000 17.2500000000
1926872829.8861544132 76962242.2083908468 -577.5000000000 17.3250000000
1935214265.0586855412 77295412.0781344175 -580.0000000000 17.4000000000
1946892278.7027449608 77761849.9035264403 -583.5000000000 17.5050000000
1960238576.8655874729 78294921.6984380186 -587.5000000000 17.6250000000
1971916590.5096468925 78761359.5238300413 -591.0000000000 17.7300000000
1981926319.6349232197 79161163.3797025084 -594.0000000000 17.8200000000
1996940896.0272405148 79760869.1330607235 -598.5000000000 17.9550000000
2010287197.3347368240 80293940.9335087687 -602.5000000000 18.0750000000
2023633498.6422333717 80827012.7339567840 -606.5000000000 18.1950000000
2035311521.7202551365 81293450.5759581774 -610.0000000000 18.3000000000
2043652953.7481322289 81626620.4401652813 -612.5000000000 18.3750000000
2053662679.7287545204 82026424.2905012965 -615.5000000000 18.4650000000
2062004114.9012856483 82359594.1602448672 -618.0000000000 18.5400000000
2072013837.7372539043 82759398.0050444305 -621.0000000000 18.6300000000
2082023566.8625304699 83159201.8609168977 -624.0000000000 18.7200000000
2088696714.3716244698 83425737.7556044757 -626.0000000000 18.7800000000
2097038158.9781179428 83758907.6419573873 -628.5000000000 18.8550000000
2103711303.3425581455 84025443.5311084986 -630.5000000000 18.9150000000
2113721032.4678344727 84425247.3869809657 -633.5000000000 19.0050000000
2118725882.8795292377 84625149.2900031805 -635.0000000000 19.0500000000
2128735608.8601517677 85024953.1403391957 -638.0000000000 19.1400000000
2138745337.9854280949 85424756.9962116778 -641.0000000000 19.2300000000
2145418485.4945223331 85691292.8908992410 -643.0000000000 19.2900000000
2155428211.4751443863 86091096.7412352562 -646.0000000000 19.3800000000
2163769649.7923297882 86424266.6165152639 -648.5000000000 19.4550000000
2170442800.4460783005 86690802.5167392939 -650.5000000000 19.5150000000
2175447663.4363894463 86890704.4419072866 -652.0000000000 19.5600000000
2178784241.9079174995 87023972.3975557536 -653.0000000000 19.5900000000
2185457383.1277036667 87290508.2811704129 -655.0000000000 19.6500000000
2195467112.2529797554 87690312.1370428801 -658.0000000000 19.7400000000
2202140259.7620739937 87956848.0317304432 -660.0000000000 19.8000000000
2210481691.7899513245 88290017.8959375620 -662.5000000000 19.8750000000
2222159702.2893567085 88756455.7157931328 -666.0000000000 19.9800000000
2230501137.4618878365 89089625.5855367035 -668.5000000000 20.0550000000
2238842572.6344189644 89422795.4552802593 -671.0000000000 20.1300000000
2248852301.7596955299 89822599.3111527413 -674.0000000000 20.2200000000
2257193736.9322266579 90155769.1808963120 -676.5000000000 20.2950000000
2265535175.2494115829 90488939.0561763197 -679.0000000000 20.3700000000
2272208322.7585058212 90755474.9508638829 -681.0000000000 20.4300000000
2277213188.8934712410 90955376.8815683424 -682.5000000000 20.4750000000
2280549761.0756912231 91088644.8261438906 -683.5000000000 20.5050000000
2288891199.3928766251 91421814.7014239281 -686.0000000000 20.5800000000
2295564346.9019708633 91688350.5961114764 -688.0000000000 20.6400000000
2303905785.2191557884 92021520.4713914990 -690.5000000000 20.7150000000
2310578932.7282500267 92288056.3660790622 -692.5000000000 20.7750000000
2317252073.9480361938 92554592.2496937215 -694.5000000000 20.8350000000
2322256943.2276554108 92754494.1859346330 -696.0000000000 20.8800000000
2323925240.3250546455 92821128.1775999963 -696.5000000000 20.8950000000
2323925237.1804008484 92821128.1720635444 -696.5000000000 20.8950000000
2323925237.1804008484 92821128.1720635444 -696.5000000000 20.8950000000
2325593527.9884920120 92887762.1526559889 -697.0000000000 20.9100000000
2325593527.9884920120 92887762.1526559889 -697.0000000000 20.9100000000
2323925234.0357465744 92821128.1665270925 -696.5000000000 20.8950000000
2325593531.1331458092 92887762.1581924409 -697.0000000000 20.9100000000
2325593527.9884920120 92887762.1526559889 -697.0000000000 20.9100000000
2325593527.9884920120 92887762.1526559889 -697.0000000000 20.9100000000
2325593527.9884920120 92887762.1526559889 -697.0000000000 20.9100000000
2323925240.3250546455 92821128.1775999963 -696.5000000000 20.8950000000
2323925237.1804008484 92821128.1720635444 -696.5000000000 20.8950000000
2325593531.1331458092 92887762.1581924409 -697.0000000000 20.9100000000
2323925237.1804008484 92821128.1720635444 -696.5000000000 20.8950000000
2325593527.9884920120 92887762.1526559889 -697.0000000000 20.9100000000
2325593527.9884920120 92887762.1526559889 -697.0000000000 20.9100000000
2325593531.1331458092 92887762.1581924409 -697.0000000000 20.9100000000
2325593531.1331458092 92887762.1581924409 -697.0000000000 20.9100000000
2325593531.1331458092 92887762.1581924409 -697.0000000000 20.9100000000
2325593524.8438377380 92887762.1471195370 -697.0000000000 20.9100000000
2325593527.9884920120 92887762.1526559889 -697.0000000000 20.9100000000
2325593531.1331458092 92887762.1581924409 -697.0000000000 20.9100000000
2325593524.8438377380 92887762.1471195370 -697.0000000000 20.9100000000
2323925240.3250546455 92821128.1775999963 -696.5000000000 20.8950000000
2325593527.9884920120 92887762.1526559889 -697.0000000000 20.9100000000
2323925237.1804008484 92821128.1720635444 -696.5000000000 20.8950000000
2325593531.1331458092 92887762.1581924409 -697.0000000000 20.9100000000
2325593531.1331458092 92887762.1581924409 -697.0000000000 20.9100000000
2323925237.1804008484 92821128.1720635444 -696.5000000000 20.8950000000
2323925243.4697089195 92821128.1831364334 -696.5000000000 20.8950000000
2325593524.8438377380 92887762.1471195370 -697.0000000000 20.9100000000
2327261803.0733127594 92954396.1055661887 -697.5000000000 20.9250000000
2333934960.0163688660 93220932.0168631077 -699.5000000000 20.9850000000
2340608101.2361550331 93487467.9004777819 -701.5000000000 21.0450000000
2348949530.1193780899 93820637.7591484338 -704.0000000000 21.1200000000
2362295825.1375660896 94353709.5485235602 -708.0000000000 21.2400000000
2383983552.1836314201 95219951.2021058053 -714.5000000000 21.4350000000
2397329856.6357822418 95753023.0080902874 -718.5000000000 21.5550000000
2405671294.9529676437 96086192.8833702803 -721.0000000000 21.6300000000
2412344445.6067156792 96352728.7835943252 -723.0000000000 21.6900000000
2415681020.9335899353 96485996.7337063104 -724.0000000000 21.7200000000
2427359021.9990329742 96952434.5369525403 -727.5000000000 21.8250000000
2444041892.3440952301 97618774.2764396816 -732.5000000000 21.9750000000
2459056478.1703748703 98218480.0464072675 -737.0000000000 22.1100000000
2469066194.7170348167 98618283.8801339269 -740.0000000000 22.2000000000
2479075914.4083490372 99018087.7193970531 -743.0000000000 22.2900000000
2499095360.0802855492 99817695.4089961946 -749.0000000000 22.4700000000
2510773373.7243447304 100284133.2343882173 -752.5000000000 22.5750000000
2515778239.8593101501 100484035.1650926620 -754.0000000000 22.6200000000
2519114815.1861844063 100617303.1152046770 -755.0000000000 22.6500000000
2522451390.5130586624 100750571.0653166920 -756.0000000000 22.6800000000
2525787972.1292405128 100883839.0265015960 -757.0000000000 22.7100000000
2525787968.9845867157 100883839.0209651440 -757.0000000000 22.7100000000
2525787965.8399324417 100883839.0154286921 -757.0000000000 22.7100000000
2527456256.6480236053 100950472.9960211515 -757.5000000000 22.7250000000
2527456259.7926778793 100950473.0015576035 -757.5000000000 22.7250000000
2525787972.1292405128 100883839.0265015960 -757.0000000000 22.7100000000
2527456262.9373316765 100950473.0070940554 -757.5000000000 22.7250000000
2527456256.6480236053 100950472.9960211515 -757.5000000000 22.7250000000
2527456262.9373316765 100950473.0070940554 -757.5000000000 22.7250000000
2527456256.6480236053 100950472.9960211515 -757.5000000000 22.7250000000
2527456259.7926778793 100950473.0015576035 -757.5000000000 22.7250000000
2527456256.6480236053 100950472.9960211515 -757.5000000000 22.7250000000
2525787968.9845867157 100883839.0209651440 -757.0000000000 22.7100000000
2527456253.5033693314 100950472.9904846996 -757.5000000000 22.7250000000
2527456259.7926778793 100950473.0015576035 -757.5000000000 22.7250000000
2527456262.9373316765 100950473.0070940554 -757.5000000000 22.7250000000
2527456259.7926778793 100950473.0015576035 -757.5000000000 22.7250000000
2527456259.7926778793 100950473.0015576035 -757.5000000000 22.7250000000
2527456259.7926778793 100950473.0015576035 -757.5000000000 22.7250000000
2529124547.4561147690 101017106.9766135961 -758.0000000000 22.7400000000
2527456259.7926778793 100950473.0015576035 -757.5000000000 22.7250000000
2527456256.6480236053 100950472.9960211515 -757.5000000000 22.7250000000
2527456256.6480236053 100950472.9960211515 -757.5000000000 22.7250000000
2527456256.6480236053 100950472.9960211515 -757.5000000000 22.7250000000
2527456253.5033693314 100950472.9904846996 -757.5000000000 22.7250000000
2540802526.5089793205 101483544.7411046773 -761.5000000000 22.8450000000
2570831679.2936134338 102682956.2478211224 -770.5000000000 23.1150000000
2594187694.0031161308 103615831.8764593750 -777.5000000000 23.3250000000
2614207149.1090149879 104415439.5826678723 -783.5000000000 23.5050000000
2627553459.8504734039 104948511.3997252584 -787.5000000000 23.6250000000
2635894885.5890426636 105281681.2528594583 -790.0000000000 23.7000000000
2649241183.7518849373 105814753.0477710515 -794.0000000000 23.8200000000
2654246027.8742713928 106014654.9397203475 -795.5000000000 23.8650000000
2670928913.9426045418 106680994.7068897486 -800.5000000000 24.0150000000
2674265470.4015541077 106814262.6237830520 -801.5000000000 24.0450000000
2689280062.5171413422 107413968.4048235267 -806.0000000000 24.1800000000
2704294635.7648048401 108013674.1526453048 -810.5000000000 24.3150000000
2719309209.0124678612 108613379.9004671127 -815.0000000000 24.4500000000
2725982350.2322535515 108879915.7840817720 -817.0000000000 24.5100000000
2735992063.6342597008 109279719.6122719944 -820.0000000000 24.6000000000
2752674952.8472466469 109946059.3849778175 -825.0000000000 24.7500000000
2761016388.0197777748 110279229.2547213733 -827.5000000000 24.8250000000
2769357820.0476551056 110612399.1189284921 -830.0000000000 24.9000000000
2781035830.5470604897 111078836.9387840778 -833.5000000000 25.0050000000
2792713837.9018115997 111545274.7531031966 -837.0000000000 25.1100000000
2797718688.3135061264 111745176.6561254114 -838.5000000000 25.1550000000
2802723551.3038177490 111945078.5812934190 -840.0000000000 25.2000000000
2806060117.1967291832 112078346.5147960633 -841.0000000000 25.2300000000
2817738121.4068264961 112544784.3235787600 -844.5000000000 25.3350000000
2824411290.9284992218 112811320.2570214570 -846.5000000000 25.3950000000
2821074709.3123168945 112678052.2958365530 -845.5000000000 25.3650000000
2817738124.5514807701 112544784.3291152120 -844.5000000000 25.3350000000
2824411290.9284992218 112811320.2570214570 -846.5000000000 25.3950000000
2817738127.6961345673 112544784.3346516490 -844.5000000000 25.3350000000
2816069836.8880434036 112478150.3540591896 -844.0000000000 25.3200000000
2821074712.4569711685 112678052.3013729900 -845.5000000000 25.3650000000
2816069833.7433896065 112478150.3485227376 -844.0000000000 25.3200000000
2816069833.7433896065 112478150.3485227376 -844.0000000000 25.3200000000
2824411290.9284992218 112811320.2570214570 -846.5000000000 25.3950000000
2824411290.9284992218 112811320.2570214570 -846.5000000000 25.3950000000
2821074709.3123168945 112678052.2958365530 -845.5000000000 25.3650000000
2816069836.8880434036 112478150.3540591896 -844.0000000000 25.3200000000
2822743000.1204080582 112744686.2764290124 -846.0000000000 25.3800000000
2824411290.9284992218 112811320.2570214570 -846.5000000000 25.3950000000
2817738127.6961345673 112544784.3346516490 -844.5000000000 25.3350000000
2816069836.8880434036 112478150.3540591896 -844.0000000000 25.3200000000
2814401549.2246065140 112411516.3790031970 -843.5000000000 25.3050000000
2824411290.9284992218 112811320.2570214570 -846.5000000000 25.3950000000
2824411290.9284992218 112811320.2570214570 -846.5000000000 25.3950000000
2817738130.8407888412 112544784.3401881009 -844.5000000000 25.3350000000
2812733255.2718610764 112344882.3928742856 -843.0000000000 25.2900000000
2812733255.2718610764 112344882.3928742856 -843.0000000000 25.2900000000
2821074709.3123168945 112678052.2958365530 -845.5000000000 25.3650000000
2817738127.6961345673 112544784.3346516490 -844.5000000000 25.3350000000
2821074684.1550841331 112678052.2515449524 -845.5000000000 25.3650000000
2832752707.2331061363 113144490.0935463309 -849.0000000000 25.4700000000
2847767267.9021525383 113744195.8192223012 -853.5000000000 25.6050000000
2869454985.5142560005 114610437.4561952204 -860.0000000000 25.8000000000
2881133008.5922775269 115076875.2981965840 -863.5000000000 25.9050000000
2896147572.4059782028 115676581.0294090211 -868.0000000000 26.0400000000
2914498692.6786289215 116409554.6775147617 -873.5000000000 26.2050000000
2927844962.5395841599 116942626.4225982875 -877.5000000000 26.3250000000
2956205865.3966307640 118075404.0206961632 -886.0000000000 26.5800000000
2969552150.9808568954 118608475.7934619337 -890.0000000000 26.7000000000
2966215547.3520956039 118475207.7935218960 -889.0000000000 26.6700000000
2977893538.9835767746 118941645.5801587552 -892.5000000000 26.7750000000
2997912994.0894751549 119741253.2863672525 -898.5000000000 26.9550000000
3009590992.0102643967 120207691.0840770155 -902.0000000000 27.0600000000
3022937290.1731066704 120740762.8789886087 -906.0000000000 27.1800000000
3019600705.4122705460 120607494.9122672528 -905.0000000000 27.1500000000
3029610443.9715089798 121007298.7847490609 -908.0000000000 27.2400000000
3026273862.3553266525 120874030.8235641718 -907.0000000000 27.2100000000
3024605568.4025816917 120807396.8374352604 -906.5000000000 27.1950000000
3022937274.4498362541 120740762.8513063639 -906.0000000000 27.1800000000
3032947022.4430370331 121140566.7403975278 -909.0000000000 27.2700000000
3024605562.1132731438 120807396.8263623714 -906.5000000000 27.1950000000
3031278731.6349458694 121073932.7598050684 -908.5000000000 27.2550000000
3021268986.7863993645 120674128.8762503713 -905.5000000000 27.1650000000
3022937277.5944905281 120740762.8568428159 -906.0000000000 27.1800000000
3022937271.3051819801 120740762.8457699120 -906.0000000000 27.1800000000
3024605568.4025816917 120807396.8374352604 -906.5000000000 27.1950000000
3021268980.4970908165 120674128.8651774675 -905.5000000000 27.1650000000
3036283600.9145655632 121273834.6960459948 -910.0000000000 27.3000000000
3022937274.4498362541 120740762.8513063639 -906.0000000000 27.1800000000
3024605565.2579274178 120807396.8318988085 -906.5000000000 27.1950000000
3034615313.2511281967 121207200.7209899873 -909.5000000000 27.2850000000
3022937277.5944905281 120740762.8568428159 -906.0000000000 27.1800000000
3022937274.4498362541 120740762.8513063639 -906.0000000000 27.1800000000
3034615310.1064743996 121207200.7154535353 -909.5000000000 27.2850000000
3036283604.0592193604 121273834.7015824318 -910.0000000000 27.3000000000
3024605565.2579274178 120807396.8318988085 -906.5000000000 27.1950000000
3022937277.5944905281 120740762.8568428159 -906.0000000000 27.1800000000
3022937271.3051819801 120740762.8457699120 -906.0000000000 27.1800000000
3036283600.9145655632 121273834.6960459948 -910.0000000000 27.3000000000
3029610434.5375466347 121007298.7681397200 -908.0000000000 27.2400000000
3036283597.7699112892 121273834.6905095428 -910.0000000000 27.3000000000
3031278722.2009840012 121073932.7431957126 -908.5000000000 27.2550000000
3046293304.8826093674 121673638.5076268613 -913.0000000000 27.3900000000
3057971299.6587438583 122140076.2998001873 -916.5000000000 27.4950000000
3064644440.8785300255 122406612.1834148616 -918.5000000000 27.5550000000
3067980991.0481715202 122539880.0892352611 -919.5000000000 27.5850000000
3064644396.8533725739 122406612.1059045643 -918.5000000000 27.5550000000
3081327289.2110137939 123072951.8841468394 -923.5000000000 27.7050000000
3088000436.7201080322 123339487.7788344175 -925.5000000000 27.7650000000
3088000420.9968376160 123339487.7511521727 -925.5000000000 27.7650000000
3096341865.6033310890 123672657.6375050843 -928.0000000000 27.8400000000
3099678444.0748591423 123805925.5931535512 -929.0000000000 27.8700000000
3084663829.9466929436 123206219.7733579129 -924.5000000000 27.7350000000
3082995535.9939475060 123139585.7872290015 -924.0000000000 27.7200000000
3099678440.9302048683 123805925.5876170844 -929.0000000000 27.8700000000
3084663823.6573848724 123206219.7622850239 -924.5000000000 27.7350000000
3101346734.8829503059 123872559.5737459958 -929.5000000000 27.8850000000
3093005277.6978406906 123539389.6652472764 -927.0000000000 27.8100000000
3093005277.6978406906 123539389.6652472764 -927.0000000000 27.8100000000
3091336986.8897495270 123472755.6846548468 -926.5000000000 27.7950000000
3093005277.6978406906 123539389.6652472764 -927.0000000000 27.8100000000
3084663823.6573848724 123206219.7622850239 -924.5000000000 27.7350000000
3094673565.3612775803 123606023.6403032839 -927.5000000000 27.8250000000
3086332111.3208217621 123272853.7373410165 -925.0000000000 27.7500000000
3088000405.2735671997 123339487.7234699279 -925.5000000000 27.7650000000
3101346731.7382960320 123872559.5682095587 -929.5000000000 27.8850000000
3086332114.4654760361 123272853.7428774685 -925.0000000000 27.7500000000
3088000408.4182209969 123339487.7290063798 -925.5000000000 27.7650000000
3091336986.8897495270 123472755.6846548468 -926.5000000000 27.7950000000
3084663823.6573848724 123206219.7622850239 -924.5000000000 27.7350000000
3099678440.9302048683 123805925.5876170844 -929.0000000000 27.8700000000
3101346731.7382960320 123872559.5682095587 -929.5000000000 27.8850000000
3101346731.7382960320 123872559.5682095587 -929.5000000000 27.8850000000
3089668696.0816583633 123406121.7040623873 -926.0000000000 27.7800000000
3086332114.4654760361 123272853.7428774685 -925.0000000000 27.7500000000
3088000405.2735671997 123339487.7234699279 -925.5000000000 27.7650000000
3098010146.9774599075 123739291.6014881879 -928.5000000000 27.8550000000
3098010106.0969567299 123739291.5295143425 -928.5000000000 27.8550000000
3103014940.7853813171 123939193.4048543125 -930.0000000000 27.9000000000
3118029539.1902770996 124538899.1969676912 -934.5000000000 28.0350000000
3131375856.2210435867 125071971.0250979811 -938.5000000000 28.1550000000
3119697814.2750973701 124605533.1498779058 -935.0000000000 28.0500000000
3119697804.8411355019 124605533.1332685500 -935.0000000000 28.0500000000
3124702655.2528300285 124805435.0362907499 -936.5000000000 28.0950000000
3131375799.6172699928 125071970.9254419059 -938.5000000000 28.1550000000
3136380646.8843107224 125271872.8229276538 -940.0000000000 28.2000000000
3159736696.1850085258 126204748.5124668330 -947.0000000000 28.4100000000
3149726948.1918072701 125804944.6233756691 -944.0000000000 28.3200000000
3158068399.0876088142 126138114.5208014846 -946.5000000000 28.3950000000
3158068392.7983007431 126138114.5097285956 -946.5000000000 28.3950000000
3164741549.7413573265 126404650.4210254997 -948.5000000000 28.4550000000
3163073211.7634549141 126338016.3573863357 -948.0000000000 28.4400000000
3179756078.9638628960 127004356.0913369954 -953.0000000000 28.5900000000
3176419487.9137187004 126871088.1135427654 -952.0000000000 28.5600000000
3183092629.1335043907 127137623.9971574396 -954.0000000000 28.6200000000
3188097485.8345074654 127337525.9112525433 -955.5000000000 28.6650000000
3201443796.5759663582 127870597.7283098996 -959.5000000000 28.7850000000
3198107211.8151297569 127737329.7615885735 -958.5000000000 28.7550000000
3208116972.3869471550 128137133.6728255153 -961.5000000000 28.8450000000
3204780415.9279975891 128003865.7559321970 -960.5000000000 28.8150000000
3186429251.6301898956 127270892.0303161740 -955.0000000000 28.6500000000
3181424438.9543442726 127070990.1937313378 -953.5000000000 28.6050000000
3174751278.8666338921 126804454.2768979818 -951.5000000000 28.5450000000
3181424435.8096899986 127070990.1881948858 -953.5000000000 28.6050000000
3176419553.9514541626 126871088.2298081964 -952.0000000000 28.5600000000
3178087838.4702372551 126937722.1993277520 -952.5000000000 28.5750000000
3194770749.6958026886 127604062.0107887089 -957.5000000000 28.7250000000
3184761004.8472561836 127204258.1272339970 -954.5000000000 28.6350000000
3179756129.2783284187 127004356.1799201816 -953.0000000000 28.5900000000
3194770746.5511488914 127604062.0052522570 -957.5000000000 28.7250000000
3186429292.5106930733 127270892.1022900045 -955.0000000000 28.6500000000
3188097583.3187842369 127337526.0828824639 -955.5000000000 28.6650000000
3184760998.5579481125 127204258.1161610931 -954.5000000000 28.6350000000
3193102471.4663281441 127537428.0523420572 -957.0000000000 28.7100000000
3174751326.0364451408 126804454.3599447161 -951.5000000000 28.5450000000
3178087957.9670925140 126937722.4097128063 -952.5000000000 28.5750000000
3154731927.5343198776 126004846.7533922940 -945.5000000000 28.3650000000
3164741703.8294076920 126404650.6923115104 -948.5000000000 28.4550000000
3158068575.1882381439 126138114.8308426440 -946.5000000000 28.3950000000
3151395449.6917223930 125871578.9749102294 -944.5000000000 28.3350000000
3143054027.0978074074 125538409.1273124516 -942.0000000000 28.2600000000
3128039453.8501443863 124938703.3794906586 -937.5000000000 28.1250000000
3119698037.5455379486 124605533.5429657847 -935.0000000000 28.0500000000
3131376098.3594083786 125071971.4514045715 -938.5000000000 28.1550000000
3128039535.6111507416 124938703.5234383494 -937.5000000000 28.1250000000
3113024965.5081419945 124338997.7811530083 -933.0000000000 27.9900000000
3094673823.2229127884 123606024.0942921340 -927.5000000000 27.8250000000
3091337285.6318879128 123472756.2106175274 -926.5000000000 27.7950000000
3088000763.7641329765 123339488.3546251506 -925.5000000000 27.7650000000
3074654478.1799068451 122806416.5818593800 -921.5000000000 27.6450000000
3054635023.0740084648 122006808.8756508827 -915.5000000000 27.4650000000
3046293609.9140558243 121673639.0446624756 -913.0000000000 27.3900000000
