#['B', 'Null1', 'I', 'Null2']
-1.7955 0.0000 -682.5000 0.0000
-1.8000 0.0000 -683.5000 0.0000
-1.8075 0.0000 -686.0000 0.0000
-1.8150 0.0000 -688.0000 0.0000
-1.8225 0.0000 -690.5000 0.0000
-1.8300 0.0000 -692.5000 0.0000
-1.8405 0.0000 -694.5000 0.0000
-1.8420 0.0000 -696.0000 0.0000
-1.8390 0.0000 -696.5000 0.0000
-1.8405 0.0000 -696.5000 0.0000
-1.8405 0.0000 -696.5000 0.0000
-1.8405 0.0000 -697.0000 0.0000
-1.8405 0.0000 -697.0000 0.0000
-1.8420 0.0000 -696.5000 0.0000
-1.8390 0.0000 -697.0000 0.0000
-1.8405 0.0000 -697.0000 0.0000
-1.8405 0.0000 -697.0000 0.0000
-1.8405 0.0000 -697.0000 0.0000
-1.8390 0.0000 -696.5000 0.0000
-1.8405 0.0000 -696.5000 0.0000
-1.8390 0.0000 -697.0000 0.0000
-1.8405 0.0000 -696.5000 0.0000
-1.8405 0.0000 -697.0000 0.0000
-1.8405 0.0000 -697.0000 0.0000
-1.8390 0.0000 -697.0000 0.0000
-1.8390 0.0000 -697.0000 0.0000
-1.8390 0.0000 -697.0000 0.0000
-1.8420 0.0000 -697.0000 0.0000
-1.8405 0.0000 -697.0000 0.0000
-1.8390 0.0000 -697.0000 0.0000
-1.8420 0.0000 -697.0000 0.0000
-1.8390 0.0000 -696.5000 0.0000
-1.8405 0.0000 -697.0000 0.0000
-1.8405 0.0000 -696.5000 0.0000
-1.8390 0.0000 -697.0000 0.0000
-1.8390 0.0000 -697.0000 0.0000
-1.8405 0.0000 -696.5000 0.0000
-1.8375 0.0000 -696.5000 0.0000
-1.8420 0.0000 -697.0000 0.0000
-1.8480 0.0000 -697.5000 0.0000
-1.8510 0.0000 -699.5000 0.0000
-1.8615 0.0000 -701.5000 0.0000
-1.8735 0.0000 -704.0000 0.0000
-1.8885 0.0000 -708.0000 0.0000
-1.9140 0.0000 -714.5000 0.0000
