#I	err_I	B	err_B	l	err_l	d	err_d
-1.146	0.001	-472	14.16	0.477	0.004	0.002	0.00005
-1.1805	0.001	-481	14.43	0.477	0.004	0.002	0.00005
-1.221	0.001	-494	14.82	0.477	0.004	0.002	0.00005
-1.254	0.001	-506	15.18	0.477	0.004	0.002	0.00005
-1.2825	0.001	-516	15.48	0.477	0.004	0.002	0.00005
-1.302	0.001	-524	15.72	0.477	0.004	0.002	0.00005
-1.326	0.001	-532	15.96	0.477	0.004	0.002	0.00005
-1.35	0.001	-539.5	16.185	0.477	0.004	0.002	0.00005
-1.3785	0.001	-548.5	16.455	0.477	0.004	0.002	0.00005
-1.4025	0.001	-557	16.71	0.477	0.004	0.002	0.00005
-1.419	0.001	-563.5	16.905	0.477	0.004	0.002	0.00005
-1.4295	0.001	-568	17.04	0.477	0.004	0.002	0.00005
-1.4385	0.001	-571	17.13	0.477	0.004	0.002	0.00005
-1.443	0.001	-573.5	17.205	0.477	0.004	0.002	0.00005
-1.446	0.001	-575	17.25	0.477	0.004	0.002	0.00005
-1.4565	0.001	-577.5	17.325	0.477	0.004	0.002	0.00005
-1.4655	0.001	-580	17.4	0.477	0.004	0.002	0.00005
-1.476	0.001	-583.5	17.505	0.477	0.004	0.002	0.00005
-1.4895	0.001	-587.5	17.625	0.477	0.004	0.002	0.00005
-1.5	0.001	-591	17.73	0.477	0.004	0.002	0.00005
-1.5075	0.001	-594	17.82	0.477	0.004	0.002	0.00005
-1.527	0.001	-598.5	17.955	0.477	0.004	0.002	0.00005
-1.539	0.001	-602.5	18.075	0.477	0.004	0.002	0.00005
-1.551	0.001	-606.5	18.195	0.477	0.004	0.002	0.00005
-1.557	0.001	-610	18.3	0.477	0.004	0.002	0.00005
-1.5675	0.001	-612.5	18.375	0.477	0.004	0.002	0.00005
-1.5765	0.001	-615.5	18.465	0.477	0.004	0.002	0.00005
-1.5855	0.001	-618	18.54	0.477	0.004	0.002	0.00005
-1.596	0.001	-621	18.63	0.477	0.004	0.002	0.00005
-1.6035	0.001	-624	18.72	0.477	0.004	0.002	0.00005
-1.611	0.001	-626	18.78	0.477	0.004	0.002	0.00005
-1.6155	0.001	-628.5	18.855	0.477	0.004	0.002	0.00005
-1.6245	0.001	-630.5	18.915	0.477	0.004	0.002	0.00005
-1.632	0.001	-633.5	19.005	0.477	0.004	0.002	0.00005
-1.6425	0.001	-635	19.05	0.477	0.004	0.002	0.00005
-1.6515	0.001	-638	19.14	0.477	0.004	0.002	0.00005
-1.659	0.001	-641	19.23	0.477	0.004	0.002	0.00005
-1.6665	0.001	-643	19.29	0.477	0.004	0.002	0.00005
-1.6755	0.001	-646	19.38	0.477	0.004	0.002	0.00005
-1.683	0.001	-648.5	19.455	0.477	0.004	0.002	0.00005
-1.689	0.001	-650.5	19.515	0.477	0.004	0.002	0.00005
-1.6935	0.001	-652	19.56	0.477	0.004	0.002	0.00005
-1.695	0.001	-653	19.59	0.477	0.004	0.002	0.00005
-1.7055	0.001	-655	19.65	0.477	0.004	0.002	0.00005
-1.713	0.001	-658	19.74	0.477	0.004	0.002	0.00005
-1.7205	0.001	-660	19.8	0.477	0.004	0.002	0.00005
-1.731	0.001	-662.5	19.875	0.477	0.004	0.002	0.00005
-1.743	0.001	-666	19.98	0.477	0.004	0.002	0.00005
-1.752	0.001	-668.5	20.055	0.477	0.004	0.002	0.00005
-1.761	0.001	-671	20.13	0.477	0.004	0.002	0.00005
-1.7685	0.001	-674	20.22	0.477	0.004	0.002	0.00005
-1.7775	0.001	-676.5	20.295	0.477	0.004	0.002	0.00005
-1.785	0.001	-679	20.37	0.477	0.004	0.002	0.00005
-1.7925	0.001	-681	20.43	0.477	0.004	0.002	0.00005
-1.7955	0.001	-682.5	20.475	0.477	0.004	0.002	0.00005
-1.8	0.001	-683.5	20.505	0.477	0.004	0.002	0.00005
-1.8075	0.001	-686	20.58	0.477	0.004	0.002	0.00005
-1.815	0.001	-688	20.64	0.477	0.004	0.002	0.00005
-1.8225	0.001	-690.5	20.715	0.477	0.004	0.002	0.00005
-1.83	0.001	-692.5	20.775	0.477	0.004	0.002	0.00005
-1.8405	0.001	-694.5	20.835	0.477	0.004	0.002	0.00005
-1.842	0.001	-696	20.88	0.477	0.004	0.002	0.00005
-1.839	0.001	-696.5	20.895	0.477	0.004	0.002	0.00005
-1.8405	0.001	-696.5	20.895	0.477	0.004	0.002	0.00005
-1.8405	0.001	-696.5	20.895	0.477	0.004	0.002	0.00005
-1.8405	0.001	-697	20.91	0.477	0.004	0.002	0.00005
-1.8405	0.001	-697	20.91	0.477	0.004	0.002	0.00005
-1.842	0.001	-696.5	20.895	0.477	0.004	0.002	0.00005
-1.839	0.001	-697	20.91	0.477	0.004	0.002	0.00005
-1.8405	0.001	-697	20.91	0.477	0.004	0.002	0.00005
-1.8405	0.001	-697	20.91	0.477	0.004	0.002	0.00005
-1.8405	0.001	-697	20.91	0.477	0.004	0.002	0.00005
-1.839	0.001	-696.5	20.895	0.477	0.004	0.002	0.00005
-1.8405	0.001	-696.5	20.895	0.477	0.004	0.002	0.00005
-1.839	0.001	-697	20.91	0.477	0.004	0.002	0.00005
-1.8405	0.001	-696.5	20.895	0.477	0.004	0.002	0.00005
-1.8405	0.001	-697	20.91	0.477	0.004	0.002	0.00005
-1.8405	0.001	-697	20.91	0.477	0.004	0.002	0.00005
-1.839	0.001	-697	20.91	0.477	0.004	0.002	0.00005
-1.839	0.001	-697	20.91	0.477	0.004	0.002	0.00005
-1.839	0.001	-697	20.91	0.477	0.004	0.002	0.00005
-1.842	0.001	-697	20.91	0.477	0.004	0.002	0.00005
-1.8405	0.001	-697	20.91	0.477	0.004	0.002	0.00005
-1.839	0.001	-697	20.91	0.477	0.004	0.002	0.00005
-1.842	0.001	-697	20.91	0.477	0.004	0.002	0.00005
