#I	err_I	B	err_B	l	err_l	d	err_d
-2.754	0.001	-935	28.05	0.477	0.004	0.002	0.00005
-2.742	0.001	-938.5	28.155	0.477	0.004	0.002	0.00005
-2.733	0.001	-937.5	28.125	0.477	0.004	0.002	0.00005
-2.7105	0.001	-933	27.99	0.477	0.004	0.002	0.00005
-2.6835	0.001	-927.5	27.825	0.477	0.004	0.002	0.00005
-2.6625	0.001	-926.5	27.795	0.477	0.004	0.002	0.00005
-2.634	0.001	-925.5	27.765	0.477	0.004	0.002	0.00005
-2.6145	0.001	-921.5	27.645	0.477	0.004	0.002	0.00005
-2.598	0.001	-915.5	27.465	0.477	0.004	0.002	0.00005
-2.5785	0.001	-913	27.39	0.477	0.004	0.002	0.00005
-2.559	0.001	-913	27.39	0.477	0.004	0.002	0.00005
-2.5455	0.001	-912.5	27.375	0.477	0.004	0.002	0.00005
-2.5275	0.001	-906.5	27.195	0.477	0.004	0.002	0.00005
-2.514	0.001	-906	27.18	0.477	0.004	0.002	0.00005
-2.508	0.001	-906	27.18	0.477	0.004	0.002	0.00005
-2.499	0.001	-902.5	27.075	0.477	0.004	0.002	0.00005
-2.4795	0.001	-902.5	27.075	0.477	0.004	0.002	0.00005
-2.4525	0.001	-896.5	26.895	0.477	0.004	0.002	0.00005
-2.439	0.001	-892.5	26.775	0.477	0.004	0.002	0.00005
-2.4255	0.001	-889.5	26.685	0.477	0.004	0.002	0.00005
-2.415	0.001	-887.5	26.625	0.477	0.004	0.002	0.00005
-2.3955	0.001	-889	26.67	0.477	0.004	0.002	0.00005
-2.376	0.001	-885	26.55	0.477	0.004	0.002	0.00005
-2.358	0.001	-881.5	26.445	0.477	0.004	0.002	0.00005
-2.337	0.001	-873.5	26.205	0.477	0.004	0.002	0.00005
-2.3205	0.001	-871	26.13	0.477	0.004	0.002	0.00005
-2.3025	0.001	-868	26.04	0.477	0.004	0.002	0.00005
-2.286	0.001	-867	26.01	0.477	0.004	0.002	0.00005
-2.2635	0.001	-864.5	25.935	0.477	0.004	0.002	0.00005
-2.247	0.001	-860.5	25.815	0.477	0.004	0.002	0.00005
-2.2305	0.001	-855.5	25.665	0.477	0.004	0.002	0.00005
-2.2215	0.001	-855	25.65	0.477	0.004	0.002	0.00005
-2.2125	0.001	-852	25.56	0.477	0.004	0.002	0.00005
-2.196	0.001	-850	25.5	0.477	0.004	0.002	0.00005
-2.1795	0.001	-846.5	25.395	0.477	0.004	0.002	0.00005
-2.16	0.001	-841.5	25.245	0.477	0.004	0.002	0.00005
-2.1405	0.001	-839	25.17	0.477	0.004	0.002	0.00005
-2.1255	0.001	-832.5	24.975	0.477	0.004	0.002	0.00005
-2.115	0.001	-831	24.93	0.477	0.004	0.002	0.00005
-2.103	0.001	-829	24.87	0.477	0.004	0.002	0.00005
-2.0835	0.001	-825.5	24.765	0.477	0.004	0.002	0.00005
-2.0685	0.001	-821.5	24.645	0.477	0.004	0.002	0.00005
-2.04	0.001	-816.5	24.495	0.477	0.004	0.002	0.00005
-2.0325	0.001	-811	24.33	0.477	0.004	0.002	0.00005
-2.0205	0.001	-808.5	24.255	0.477	0.004	0.002	0.00005
-2.0085	0.001	-805	24.15	0.477	0.004	0.002	0.00005
-2.001	0.001	-803	24.09	0.477	0.004	0.002	0.00005
-1.9845	0.001	-800.5	24.015	0.477	0.004	0.002	0.00005
-1.9635	0.001	-796	23.88	0.477	0.004	0.002	0.00005
-1.947	0.001	-793	23.79	0.477	0.004	0.002	0.00005
-1.9275	0.001	-786.5	23.595	0.477	0.004	0.002	0.00005
-1.9125	0.001	-782.5	23.475	0.477	0.004	0.002	0.00005
-1.9005	0.001	-779.5	23.385	0.477	0.004	0.002	0.00005
-1.887	0.001	-777	23.31	0.477	0.004	0.002	0.00005
-1.8765	0.001	-774	23.22	0.477	0.004	0.002	0.00005
-1.869	0.001	-771	23.13	0.477	0.004	0.002	0.00005
-1.8555	0.001	-768.5	23.055	0.477	0.004	0.002	0.00005
-1.8345	0.001	-764.5	22.935	0.477	0.004	0.002	0.00005
-1.818	0.001	-759	22.77	0.477	0.004	0.002	0.00005
-1.785	0.001	-752.5	22.575	0.477	0.004	0.002	0.00005
-1.752	0.001	-744	22.32	0.477	0.004	0.002	0.00005
-1.7325	0.001	-737.5	22.125	0.477	0.004	0.002	0.00005
-1.71	0.001	-731	21.93	0.477	0.004	0.002	0.00005
-1.695	0.001	-726.5	21.795	0.477	0.004	0.002	0.00005
-1.6785	0.001	-721	21.63	0.477	0.004	0.002	0.00005
-1.68	0.001	-719.5	21.585	0.477	0.004	0.002	0.00005
-1.6725	0.001	-718	21.54	0.477	0.004	0.002	0.00005
-1.6725	0.001	-717	21.51	0.477	0.004	0.002	0.00005
-1.6665	0.001	-715.5	21.465	0.477	0.004	0.002	0.00005
-1.6215	0.001	-707.5	21.225	0.477	0.004	0.002	0.00005
-1.557	0.001	-692.5	20.775	0.477	0.004	0.002	0.00005
-1.518	0.001	-679	20.37	0.477	0.004	0.002	0.00005
-1.5105	0.001	-672.5	20.175	0.477	0.004	0.002	0.00005
-1.509	0.001	-670.5	20.115	0.477	0.004	0.002	0.00005
-1.5015	0.001	-668.5	20.055	0.477	0.004	0.002	0.00005
-1.4895	0.001	-665.5	19.965	0.477	0.004	0.002	0.00005
-1.4625	0.001	-659	19.77	0.477	0.004	0.002	0.00005
-1.4385	0.001	-652	19.56	0.477	0.004	0.002	0.00005
-1.4145	0.001	-645	19.35	0.477	0.004	0.002	0.00005
-1.401	0.001	-639.5	19.185	0.477	0.004	0.002	0.00005
-1.3905	0.001	-636	19.08	0.477	0.004	0.002	0.00005
-1.3815	0.001	-632.5	18.975	0.477	0.004	0.002	0.00005
-1.3665	0.001	-628.5	18.855	0.477	0.004	0.002	0.00005
-1.3575	0.001	-624.5	18.735	0.477	0.004	0.002	0.00005
-1.3485	0.001	-621.5	18.645	0.477	0.004	0.002	0.00005
-1.3395	0.001	-619	18.57	0.477	0.004	0.002	0.00005
-1.3305	0.001	-616.5	18.495	0.477	0.004	0.002	0.00005
-1.3185	0.001	-613	18.39	0.477	0.004	0.002	0.00005
-1.314	0.001	-610	18.3	0.477	0.004	0.002	0.00005
-1.296	0.001	-606	18.18	0.477	0.004	0.002	0.00005
-1.29	0.001	-603	18.09	0.477	0.004	0.002	0.00005
-1.281	0.001	-600.5	18.015	0.477	0.004	0.002	0.00005
-1.2765	0.001	-598.5	17.955	0.477	0.004	0.002	0.00005
-1.26	0.001	-593.5	17.805	0.477	0.004	0.002	0.00005
-1.2495	0.001	-591	17.73	0.477	0.004	0.002	0.00005
-1.2405	0.001	-588	17.64	0.477	0.004	0.002	0.00005
-1.2345	0.001	-585.5	17.565	0.477	0.004	0.002	0.00005
-1.224	0.001	-582	17.46	0.477	0.004	0.002	0.00005
-1.2135	0.001	-579	17.37	0.477	0.004	0.002	0.00005
-1.2075	0.001	-576.5	17.295	0.477	0.004	0.002	0.00005
-1.203	0.001	-574	17.22	0.477	0.004	0.002	0.00005
-1.1895	0.001	-571.5	17.145	0.477	0.004	0.002	0.00005
-1.182	0.001	-568	17.04	0.477	0.004	0.002	0.00005
-1.1745	0.001	-565.5	16.965	0.477	0.004	0.002	0.00005
-1.1655	0.001	-562.5	16.875	0.477	0.004	0.002	0.00005
-1.1535	0.001	-559	16.77	0.477	0.004	0.002	0.00005
-1.137	0.001	-554	16.62	0.477	0.004	0.002	0.00005
-1.1265	0.001	-550.5	16.515	0.477	0.004	0.002	0.00005
-1.1205	0.001	-547.5	16.425	0.477	0.004	0.002	0.00005
-1.1085	0.001	-544	16.32	0.477	0.004	0.002	0.00005
-1.1055	0.001	-542	16.26	0.477	0.004	0.002	0.00005
-1.0995	0.001	-540	16.2	0.477	0.004	0.002	0.00005
-1.092	0.001	-538	16.14	0.477	0.004	0.002	0.00005
-1.083	0.001	-535	16.05	0.477	0.004	0.002	0.00005
-1.074	0.001	-532.5	15.975	0.477	0.004	0.002	0.00005
-1.062	0.001	-528	15.84	0.477	0.004	0.002	0.00005
-1.0575	0.001	-526	15.78	0.477	0.004	0.002	0.00005
-1.053	0.001	-524	15.72	0.477	0.004	0.002	0.00005
-1.0455	0.001	-522	15.66	0.477	0.004	0.002	0.00005
-1.041	0.001	-519.5	15.585	0.477	0.004	0.002	0.00005
-1.035	0.001	-518	15.54	0.477	0.004	0.002	0.00005
-1.0275	0.001	-515.5	15.465	0.477	0.004	0.002	0.00005
-1.0185	0.001	-512.5	15.375	0.477	0.004	0.002	0.00005
-1.011	0.001	-510.5	15.315	0.477	0.004	0.002	0.00005
-0.993	0.001	-505.5	15.165	0.477	0.004	0.002	0.00005
-0.981	0.001	-500	15	0.477	0.004	0.002	0.00005
-0.9705	0.001	-496.5	14.895	0.477	0.004	0.002	0.00005
-0.969	0.001	-494.5	14.835	0.477	0.004	0.002	0.00005
-0.9645	0.001	-493	14.79	0.477	0.004	0.002	0.00005
-0.9375	0.001	-486.5	14.595	0.477	0.004	0.002	0.00005
-0.9195	0.001	-479.5	14.385	0.477	0.004	0.002	0.00005
-0.912	0.001	-475.5	14.265	0.477	0.004	0.002	0.00005
-0.909	0.001	-473.5	14.205	0.477	0.004	0.002	0.00005
-0.9045	0.001	-471.5	14.145	0.477	0.004	0.002	0.00005
-0.9	0.001	-469.5	14.085	0.477	0.004	0.002	0.00005
-0.897	0.001	-468	14.04	0.477	0.004	0.002	0.00005
-0.8925	0.001	-466	13.98	0.477	0.004	0.002	0.00005
-0.879	0.001	-463.5	13.905	0.477	0.004	0.002	0.00005
-0.867	0.001	-458.5	13.755	0.477	0.004	0.002	0.00005
-0.861	0.001	-455.5	13.665	0.477	0.004	0.002	0.00005
-0.849	0.001	-452.5	13.575	0.477	0.004	0.002	0.00005
-0.8355	0.001	-447.5	13.425	0.477	0.004	0.002	0.00005
-0.816	0.001	-441.5	13.245	0.477	0.004	0.002	0.00005
-0.7995	0.001	-434.5	13.035	0.477	0.004	0.002	0.00005
-0.783	0.001	-428.5	12.855	0.477	0.004	0.002	0.00005
-0.7725	0.001	-425	12.75	0.477	0.004	0.002	0.00005
-0.756	0.001	-419	12.57	0.477	0.004	0.002	0.00005
-0.7515	0.001	-415.5	12.465	0.477	0.004	0.002	0.00005
-0.741	0.001	-412	12.36	0.477	0.004	0.002	0.00005
-0.7275	0.001	-406.5	12.195	0.477	0.004	0.002	0.00005
-0.723	0.001	-404	12.12	0.477	0.004	0.002	0.00005
-0.7125	0.001	-399	11.97	0.477	0.004	0.002	0.00005
-0.696	0.001	-394	11.82	0.477	0.004	0.002	0.00005
-0.681	0.001	-388	11.64	0.477	0.004	0.002	0.00005
-0.666	0.001	-382.5	11.475	0.477	0.004	0.002	0.00005
-0.6435	0.001	-374.5	11.235	0.477	0.004	0.002	0.00005
-0.6345	0.001	-369	11.07	0.477	0.004	0.002	0.00005
-0.624	0.001	-364.5	10.935	0.477	0.004	0.002	0.00005
-0.615	0.001	-360.5	10.815	0.477	0.004	0.002	0.00005
-0.6015	0.001	-356	10.68	0.477	0.004	0.002	0.00005
-0.5925	0.001	-351.5	10.545	0.477	0.004	0.002	0.00005
-0.5835	0.001	-348	10.44	0.477	0.004	0.002	0.00005
-0.5715	0.001	-343	10.29	0.477	0.004	0.002	0.00005
-0.5595	0.001	-337.5	10.125	0.477	0.004	0.002	0.00005
-0.5475	0.001	-332.5	9.975	0.477	0.004	0.002	0.00005
-0.5415	0.001	-329.5	9.885	0.477	0.004	0.002	0.00005
-0.531	0.001	-324.5	9.735	0.477	0.004	0.002	0.00005
-0.5235	0.001	-321	9.63	0.477	0.004	0.002	0.00005
-0.5145	0.001	-317	9.51	0.477	0.004	0.002	0.00005
-0.4995	0.001	-311.5	9.345	0.477	0.004	0.002	0.00005
-0.4935	0.001	-308	9.24	0.477	0.004	0.002	0.00005
-0.4845	0.001	-303.5	9.105	0.477	0.004	0.002	0.00005
-0.474	0.001	-299	8.97	0.477	0.004	0.002	0.00005
-0.465	0.001	-294.5	8.835	0.477	0.004	0.002	0.00005
-0.45	0.001	-288.5	8.655	0.477	0.004	0.002	0.00005
-0.4425	0.001	-284	8.52	0.477	0.004	0.002	0.00005
-0.429	0.001	-278.5	8.355	0.477	0.004	0.002	0.00005
-0.408	0.001	-270	8.1	0.477	0.004	0.002	0.00005
-0.4005	0.001	-265	7.95	0.477	0.004	0.002	0.00005
-0.3945	0.001	-261.5	7.845	0.477	0.004	0.002	0.00005
-0.387	0.001	-258	7.74	0.477	0.004	0.002	0.00005
-0.378	0.001	-254	7.62	0.477	0.004	0.002	0.00005
-0.3735	0.001	-251.5	7.545	0.477	0.004	0.002	0.00005
-0.3615	0.001	-246	7.38	0.477	0.004	0.002	0.00005
-0.357	0.001	-242.5	7.275	0.477	0.004	0.002	0.00005
-0.345	0.001	-239	7.17	0.477	0.004	0.002	0.00005
-0.336	0.001	-234	7.02	0.477	0.004	0.002	0.00005
-0.327	0.001	-229	6.87	0.477	0.004	0.002	0.00005
-0.3165	0.001	-224.5	6.735	0.477	0.004	0.002	0.00005
-0.3075	0.001	-221	6.63	0.477	0.004	0.002	0.00005
-0.297	0.001	-215	6.45	0.477	0.004	0.002	0.00005
-0.2835	0.001	-209.5	6.285	0.477	0.004	0.002	0.00005
-0.279	0.001	-205.5	6.165	0.477	0.004	0.002	0.00005
-0.267	0.001	-200.5	6.015	0.477	0.004	0.002	0.00005
-0.2625	0.001	-196.5	5.895	0.477	0.004	0.002	0.00005
-0.255	0.001	-193.5	5.805	0.477	0.004	0.002	0.00005
-0.2505	0.001	-191	5.73	0.477	0.004	0.002	0.00005
-0.243	0.001	-187	5.61	0.477	0.004	0.002	0.00005
-0.234	0.001	-183.5	5.505	0.477	0.004	0.002	0.00005
-0.225	0.001	-178.5	5.355	0.477	0.004	0.002	0.00005
-0.21	0.001	-172.5	5.175	0.477	0.004	0.002	0.00005
-0.201	0.001	-167	5.01	0.477	0.004	0.002	0.00005
-0.192	0.001	-163	4.89	0.477	0.004	0.002	0.00005
-0.189	0.001	-160	4.8	0.477	0.004	0.002	0.00005
-0.183	0.001	-157	4.71	0.477	0.004	0.002	0.00005
-0.1785	0.001	-154	4.62	0.477	0.004	0.002	0.00005
-0.1755	0.001	-152	4.56	0.477	0.004	0.002	0.00005
-0.1725	0.001	-151	4.53	0.477	0.004	0.002	0.00005
-0.1695	0.001	-149.5	4.485	0.477	0.004	0.002	0.00005
-0.168	0.001	-148	4.44	0.477	0.004	0.002	0.00005
-0.162	0.001	-146	4.38	0.477	0.004	0.002	0.00005
-0.1575	0.001	-143.5	4.305	0.477	0.004	0.002	0.00005
-0.15	0.001	-140.5	4.215	0.477	0.004	0.002	0.00005
-0.1485	0.001	-138	4.14	0.477	0.004	0.002	0.00005
-0.144	0.001	-136.5	4.095	0.477	0.004	0.002	0.00005
-0.141	0.001	-134.5	4.035	0.477	0.004	0.002	0.00005
-0.1215	0.001	-128	3.84	0.477	0.004	0.002	0.00005
-0.1155	0.001	-123.5	3.705	0.477	0.004	0.002	0.00005
-0.1095	0.001	-121	3.63	0.477	0.004	0.002	0.00005
-0.108	0.001	-119	3.57	0.477	0.004	0.002	0.00005
-0.1035	0.001	-116.5	3.495	0.477	0.004	0.002	0.00005
-0.1005	0.001	-115.5	3.465	0.477	0.004	0.002	0.00005
-0.0945	0.001	-112.5	3.375	0.477	0.004	0.002	0.00005
-0.09	0.001	-110.5	3.315	0.477	0.004	0.002	0.00005
-0.081	0.001	-106	3.18	0.477	0.004	0.002	0.00005
-0.072	0.001	-101.5	3.045	0.477	0.004	0.002	0.00005
-0.0675	0.001	-97.5	2.925	0.477	0.004	0.002	0.00005
-0.054	0.001	-92.5	2.775	0.477	0.004	0.002	0.00005
-0.051	0.001	-90	2.7	0.477	0.004	0.002	0.00005
-0.039	0.001	-85	2.55	0.477	0.004	0.002	0.00005
-0.0345	0.001	-83	2.49	0.477	0.004	0.002	0.00005
-0.033	0.001	-81	2.43	0.477	0.004	0.002	0.00005
-0.0285	0.001	-78	2.34	0.477	0.004	0.002	0.00005
-0.024	0.001	-77	2.31	0.477	0.004	0.002	0.00005
-0.0105	0.001	-71.5	2.145	0.477	0.004	0.002	0.00005
-0.0105	0.001	-69.5	2.085	0.477	0.004	0.002	0.00005
0	0.001	-66.5	1.995	0.477	0.004	0.002	0.00005
0	0.001	-64.5	1.935	0.477	0.004	0.002	0.00005
0	0.001	-63.5	1.905	0.477	0.004	0.002	0.00005
0	0.001	-63.5	1.905	0.477	0.004	0.002	0.00005
0	0.001	-63	1.89	0.477	0.004	0.002	0.00005
-0.0015	0.001	-63	1.89	0.477	0.004	0.002	0.00005
0.0015	0.001	-62.5	1.875	0.477	0.004	0.002	0.00005
0	0.001	-62	1.86	0.477	0.004	0.002	0.00005
0	0.001	-62.5	1.875	0.477	0.004	0.002	0.00005
0	0.001	-62.5	1.875	0.477	0.004	0.002	0.00005
0	0.001	-62.5	1.875	0.477	0.004	0.002	0.00005
0.0015	0.001	-62.5	1.875	0.477	0.004	0.002	0.00005
0	0.001	-62.5	1.875	0.477	0.004	0.002	0.00005
0	0.001	-62.5	1.875	0.477	0.004	0.002	0.00005
-0.0015	0.001	-62.5	1.875	0.477	0.004	0.002	0.00005
0.0015	0.001	-62.5	1.875	0.477	0.004	0.002	0.00005
0	0.001	-62.5	1.875	0.477	0.004	0.002	0.00005
0	0.001	-62.5	1.875	0.477	0.004	0.002	0.00005
-0.0015	0.001	-62	1.86	0.477	0.004	0.002	0.00005
0	0.001	-62.5	1.875	0.477	0.004	0.002	0.00005
0.0015	0.001	-62.5	1.875	0.477	0.004	0.002	0.00005
0.0015	0.001	-62	1.86	0.477	0.004	0.002	0.00005
0	0.001	-62.5	1.875	0.477	0.004	0.002	0.00005
0	0.001	-62.5	1.875	0.477	0.004	0.002	0.00005
0.0015	0.001	-62.5	1.875	0.477	0.004	0.002	0.00005
0.0015	0.001	-62.5	1.875	0.477	0.004	0.002	0.00005
0	0.001	-62	1.86	0.477	0.004	0.002	0.00005
-0.0015	0.001	-62.5	1.875	0.477	0.004	0.002	0.00005
0	0.001	-62	1.86	0.477	0.004	0.002	0.00005
-0.0015	0.001	-62.5	1.875	0.477	0.004	0.002	0.00005
0	0.001	-62.5	1.875	0.477	0.004	0.002	0.00005
-0.0015	0.001	-62.5	1.875	0.477	0.004	0.002	0.00005
0.0015	0.001	-62	1.86	0.477	0.004	0.002	0.00005
0.0015	0.001	-62	1.86	0.477	0.004	0.002	0.00005
-0.0015	0.001	-62.5	1.875	0.477	0.004	0.002	0.00005
0.0015	0.001	-62.5	1.875	0.477	0.004	0.002	0.00005
-0.0015	0.001	-62	1.86	0.477	0.004	0.002	0.00005
0	0.001	-62	1.86	0.477	0.004	0.002	0.00005
0	0.001	-62	1.86	0.477	0.004	0.002	0.00005
0.0015	0.001	-62.5	1.875	0.477	0.004	0.002	0.00005
0	0.001	-62.5	1.875	0.477	0.004	0.002	0.00005
0	0.001	-62	1.86	0.477	0.004	0.002	0.00005
0	0.001	-62.5	1.875	0.477	0.004	0.002	0.00005
0	0.001	-62	1.86	0.477	0.004	0.002	0.00005
-0.0015	0.001	-62	1.86	0.477	0.004	0.002	0.00005
0	0.001	-62.5	1.875	0.477	0.004	0.002	0.00005
0	0.001	-62.5	1.875	0.477	0.004	0.002	0.00005
-0.0015	0.001	-62.5	1.875	0.477	0.004	0.002	0.00005
-0.0015	0.001	-62.5	1.875	0.477	0.004	0.002	0.00005
0	0.001	-62	1.86	0.477	0.004	0.002	0.00005
0	0.001	-62	1.86	0.477	0.004	0.002	0.00005
0	0.001	-62.5	1.875	0.477	0.004	0.002	0.00005
0	0.001	-62	1.86	0.477	0.004	0.002	0.00005
0.0015	0.001	-62	1.86	0.477	0.004	0.002	0.00005
-0.0015	0.001	-62	1.86	0.477	0.004	0.002	0.00005
0.0015	0.001	-62	1.86	0.477	0.004	0.002	0.00005
0	0.001	-62.5	1.875	0.477	0.004	0.002	0.00005
0.0015	0.001	-62.5	1.875	0.477	0.004	0.002	0.00005
0	0.001	-62	1.86	0.477	0.004	0.002	0.00005
0.0015	0.001	-62.5	1.875	0.477	0.004	0.002	0.00005
-0.0015	0.001	-62	1.86	0.477	0.004	0.002	0.00005
0.0015	0.001	-62	1.86	0.477	0.004	0.002	0.00005
0	0.001	-62	1.86	0.477	0.004	0.002	0.00005
-0.0015	0.001	-62	1.86	0.477	0.004	0.002	0.00005
0	0.001	-62.5	1.875	0.477	0.004	0.002	0.00005
0	0.001	-62.5	1.875	0.477	0.004	0.002	0.00005
0.0015	0.001	-62	1.86	0.477	0.004	0.002	0.00005
0	0.001	-62.5	1.875	0.477	0.004	0.002	0.00005
0	0.001	-62	1.86	0.477	0.004	0.002	0.00005
-0.0015	0.001	-62.5	1.875	0.477	0.004	0.002	0.00005
0	0.001	-62	1.86	0.477	0.004	0.002	0.00005
0	0.001	-62	1.86	0.477	0.004	0.002	0.00005
-0.0015	0.001	-62.5	1.875	0.477	0.004	0.002	0.00005
0	0.001	-62	1.86	0.477	0.004	0.002	0.00005
0	0.001	-62	1.86	0.477	0.004	0.002	0.00005
0.0015	0.001	-62	1.86	0.477	0.004	0.002	0.00005
0.0015	0.001	-62	1.86	0.477	0.004	0.002	0.00005
0	0.001	-62	1.86	0.477	0.004	0.002	0.00005
0	0.001	-62	1.86	0.477	0.004	0.002	0.00005
-0.0015	0.001	-62	1.86	0.477	0.004	0.002	0.00005
0.0015	0.001	-62	1.86	0.477	0.004	0.002	0.00005
0	0.001	-62	1.86	0.477	0.004	0.002	0.00005
0	0.001	-62	1.86	0.477	0.004	0.002	0.00005
0	0.001	-62.5	1.875	0.477	0.004	0.002	0.00005
0	0.001	-62.5	1.875	0.477	0.004	0.002	0.00005
0	0.001	-62	1.86	0.477	0.004	0.002	0.00005
-0.0015	0.001	-62.5	1.875	0.477	0.004	0.002	0.00005
-0.0015	0.001	-62.5	1.875	0.477	0.004	0.002	0.00005
0.0015	0.001	-62	1.86	0.477	0.004	0.002	0.00005
0.0015	0.001	-62	1.86	0.477	0.004	0.002	0.00005
0.0015	0.001	-62	1.86	0.477	0.004	0.002	0.00005
0	0.001	-62	1.86	0.477	0.004	0.002	0.00005
0.0015	0.001	-62	1.86	0.477	0.004	0.002	0.00005
0.0015	0.001	-62.5	1.875	0.477	0.004	0.002	0.00005
0.0015	0.001	-62.5	1.875	0.477	0.004	0.002	0.00005
0.0015	0.001	-62	1.86	0.477	0.004	0.002	0.00005
0	0.001	-62.5	1.875	0.477	0.004	0.002	0.00005
0	0.001	-62	1.86	0.477	0.004	0.002	0.00005
0	0.001	-62.5	1.875	0.477	0.004	0.002	0.00005
0	0.001	-62	1.86	0.477	0.004	0.002	0.00005
0	0.001	-62	1.86	0.477	0.004	0.002	0.00005
-0.0015	0.001	-62	1.86	0.477	0.004	0.002	0.00005
0	0.001	-62.5	1.875	0.477	0.004	0.002	0.00005
0	0.001	-62.5	1.875	0.477	0.004	0.002	0.00005
-0.0015	0.001	-62.5	1.875	0.477	0.004	0.002	0.00005
-0.0015	0.001	-62.5	1.875	0.477	0.004	0.002	0.00005
0	0.001	-62.5	1.875	0.477	0.004	0.002	0.00005
-0.0015	0.001	-62.5	1.875	0.477	0.004	0.002	0.00005
0	0.001	-62	1.86	0.477	0.004	0.002	0.00005
0.0015	0.001	-62	1.86	0.477	0.004	0.002	0.00005
0.0015	0.001	-62.5	1.875	0.477	0.004	0.002	0.00005
0	0.001	-62	1.86	0.477	0.004	0.002	0.00005
0	0.001	-62	1.86	0.477	0.004	0.002	0.00005
0	0.001	-62	1.86	0.477	0.004	0.002	0.00005
0	0.001	-62	1.86	0.477	0.004	0.002	0.00005
0	0.001	-62.5	1.875	0.477	0.004	0.002	0.00005
0	0.001	-62	1.86	0.477	0.004	0.002	0.00005
0.0015	0.001	-62	1.86	0.477	0.004	0.002	0.00005
0	0.001	-62	1.86	0.477	0.004	0.002	0.00005
-0.0015	0.001	-62.5	1.875	0.477	0.004	0.002	0.00005
0	0.001	-62.5	1.875	0.477	0.004	0.002	0.00005
-0.0015	0.001	-62	1.86	0.477	0.004	0.002	0.00005
0	0.001	-62.5	1.875	0.477	0.004	0.002	0.00005
0.0015	0.001	-62	1.86	0.477	0.004	0.002	0.00005
-0.0015	0.001	-62.5	1.875	0.477	0.004	0.002	0.00005
0	0.001	-62.5	1.875	0.477	0.004	0.002	0.00005
0.0015	0.001	-62	1.86	0.477	0.004	0.002	0.00005
0	0.001	-62	1.86	0.477	0.004	0.002	0.00005
0	0.001	-62.5	1.875	0.477	0.004	0.002	0.00005
0.006	0.001	-61.5	1.845	0.477	0.004	0.002	0.00005
0.018	0.001	-58	1.74	0.477	0.004	0.002	0.00005
0.0165	0.001	-57	1.71	0.477	0.004	0.002	0.00005
0.03	0.001	-52	1.56	0.477	0.004	0.002	0.00005
0.042	0.001	-45.5	1.365	0.477	0.004	0.002	0.00005
0.051	0.001	-40.5	1.215	0.477	0.004	0.002	0.00005
0.057	0.001	-37	1.11	0.477	0.004	0.002	0.00005
0.06	0.001	-34.5	1.035	0.477	0.004	0.002	0.00005
0.063	0.001	-33.5	1.005	0.477	0.004	0.002	0.00005
0.066	0.001	-31.5	0.945	0.477	0.004	0.002	0.00005
0.0765	0.001	-27.5	0.825	0.477	0.004	0.002	0.00005
0.0765	0.001	-25.5	0.765	0.477	0.004	0.002	0.00005
0.0795	0.001	-25	0.75	0.477	0.004	0.002	0.00005
0.087	0.001	-23	0.69	0.477	0.004	0.002	0.00005
0.093	0.001	-20.5	0.615	0.477	0.004	0.002	0.00005
0.0975	0.001	-17.5	0.525	0.477	0.004	0.002	0.00005
0.099	0.001	-15.5	0.465	0.477	0.004	0.002	0.00005
0.105	0.001	-13.5	0.405	0.477	0.004	0.002	0.00005
0.1065	0.001	-11.5	0.345	0.477	0.004	0.002	0.00005
0.1095	0.001	-10.5	0.315	0.477	0.004	0.002	0.00005
0.111	0.001	-9	0.27	0.477	0.004	0.002	0.00005
0.123	0.001	-5	0.15	0.477	0.004	0.002	0.00005
0.1425	0.001	3	0.09	0.477	0.004	0.002	0.00005
0.15	0.001	8	0.24	0.477	0.004	0.002	0.00005
0.156	0.001	11.5	0.345	0.477	0.004	0.002	0.00005
0.162	0.001	14.5	0.435	0.477	0.004	0.002	0.00005
0.1695	0.001	18	0.54	0.477	0.004	0.002	0.00005
0.177	0.001	22	0.66	0.477	0.004	0.002	0.00005
0.183	0.001	25	0.75	0.477	0.004	0.002	0.00005
0.195	0.001	30	0.9	0.477	0.004	0.002	0.00005
0.2085	0.001	36.5	1.095	0.477	0.004	0.002	0.00005
0.2235	0.001	43	1.29	0.477	0.004	0.002	0.00005
0.2325	0.001	48	1.44	0.477	0.004	0.002	0.00005
0.2415	0.001	52.5	1.575	0.477	0.004	0.002	0.00005
0.243	0.001	55	1.65	0.477	0.004	0.002	0.00005
0.246	0.001	57.5	1.725	0.477	0.004	0.002	0.00005
0.2505	0.001	59	1.77	0.477	0.004	0.002	0.00005
0.255	0.001	61	1.83	0.477	0.004	0.002	0.00005
0.2625	0.001	64	1.92	0.477	0.004	0.002	0.00005
0.267	0.001	66.5	1.995	0.477	0.004	0.002	0.00005
0.273	0.001	69.5	2.085	0.477	0.004	0.002	0.00005
0.279	0.001	72	2.16	0.477	0.004	0.002	0.00005
0.279	0.001	73.5	2.205	0.477	0.004	0.002	0.00005
0.2805	0.001	74.5	2.235	0.477	0.004	0.002	0.00005
0.282	0.001	75.5	2.265	0.477	0.004	0.002	0.00005
0.288	0.001	77	2.31	0.477	0.004	0.002	0.00005
0.288	0.001	78	2.34	0.477	0.004	0.002	0.00005
0.2925	0.001	80	2.4	0.477	0.004	0.002	0.00005
0.2955	0.001	82.5	2.475	0.477	0.004	0.002	0.00005
