D_B [mm], err_D_B [mm], x_l [skt], err_x_l [skt], E [mm], err_E [mm], D_S [mm], err_D_S [mm]
3.0, 1e-7, 106.5, 1, 6580, 100, 170, 1
2.0, 1e-7, 94.5, 1, 6580, 100, 170, 1
1.0, 1e-7, 85.0, 1, 6580, 100, 170, 1
0.6, 1e-7, 61.5, 1, 6580, 100, 170, 1
0.3, 1e-7, 0.0, 1, 6580, 100, 170, 1
