D_B [mm],err_D_B [mm],alpha [°],err_alpha [°]
3.0,0.0,0.0,1.69014
2.0,0.0,20.28169,1.69014
1.0,0.0,36.33803,1.69014
0.6,0.0,76.05634,1.69014
0.3,0.0,180.0,1.69014
