#H_Fe[T] err_H_Fe[T]
1.47636327995916838418 0.07339298702179750111
3.14465408805031465533 0.04103992938202469937
0.00000000000000000000 0.00000000000000000000
0.00000000000000000000 0.00000000000000000000
0.00000000000000000000 0.00000000000000000000
6289.30817610062877065502 82.07985876404940484008
0.00000000000000000000 0.00000000000000000000
0.00000000000000000000 0.00000000000000000000
-1.66829080809114604911 0.06663398059245767557
0.00000000000000000000 0.00000000000000000000
-3.14465408805031465533 0.04103992938202469937
3.14465408805031465533 0.04103992938202469937
0.00000000000000000000 0.00000000000000000000
0.00000000000000000000 0.00000000000000000000
3.14465408805031465533 0.04103992938202469937
0.00000000000000000000 0.00000000000000000000
0.00000000000000000000 0.00000000000000000000
-1.66829080809114604911 0.06663398059245767557
0.00000000000000000000 0.00000000000000000000
-24.96530517627053669116 0.37537408308148556557
-108.14361780044123406697 2.12665090786600918804
-264077.53860067040659487247 3446.95976730052007042104
-258.71791566343438262265 6.46555736342264530947
-484099.89073409076081588864 6319.20014472506500169402
-316.62088169300926665528 10.04723230060210070747
-325.09520631650030964011 10.72707988837227865986
-357.95905353186594766157 12.08177785654177327501
-685235.96714032022282481194 8945.10334507892366673332
-407.71249304911708577492 15.88324971143536501472
-810930.37466788780875504017 10586.20958068507570715155
-854918.82950281421653926373 11160.57235465548728825524
-437.44644286927444909452 20.36563962066185595745
-460.30054523609328498424 22.05314854931369339397
-1018322.39343405608087778091 13294.01518165112793212757
-482.13595301715537289056 25.49363687166759007141
-483.93711440828184322527 26.41782764775309644278
-500.88576365526404288175 27.81734882557394072933
-535.93462731802014786808 29.83778694075044768397
-1307430.37463771412149071693 17068.61796392001269850880
-1345124.51642411551438271999 17560.87452280182333197445
-567.85359358556797815254 35.05769329232352760073
-584.99417036068200559384 36.32905581535736416754
-606.17998191940966989932 38.08169784128769919107
-609.26557906236337203154 39.21698030401049095417
-612.35117620531707416376 40.35318748775070929469
-1602799.30307373520918190479 20925.14981513169186655432
-658.44323599521851519967 43.48274619036627086643
-679.62904755394617950515 45.23634945387423300645
-696.19384174466438253148 46.90149515760201381909
-1847920.49773327494040131569 24125.39872755178294028156
-717.51252388642717505718 49.64695067967349473292
-726.88742920548156689620 50.81563627979080877139
-1986186.84844981133937835693 25930.62938760807810467668
-763.73745425936419906066 53.76877764894937428153
-2067891.13285164441913366318 26997.36425578487614984624
-798.01860780959214025643 56.31294421640498626402
-2181028.61180751584470272064 28474.42676984900026582181
-834.86863286347465873405 59.26619306286577426590
-862.72760765456689568964 60.78772735714252206662
-875.05523953353974775382 62.10304026948431044275
-2369581.06698911963030695915 30936.14444315404034568928
-2419867.17145418748259544373 31592.63144422151890466921
-906.90039216314880832215 65.23116375227073149290
-919.61187909838542964280 66.28384036604808215998
-2507854.09086888842284679413 32741.41057213327439967543
-945.41870802512232785375 68.12629481450146329280
-964.80335819272352182452 68.94582979489912588633
-2652429.76925122272223234177 34628.82731919738580472767
-1017.76050874312181804271 71.71109376403465773819
-1026.04290583848114692955 72.54416571565283788914
-1045.04370094981800320966 73.62671638224851733412
-2815853.35267216200008988380 36762.37683536680560791865
-1078.42427380448293661175 75.70369636955568637404
-2866131.11568318866193294525 37418.81951670217677019536
-2903853.61841332772746682167 37911.22687389844213612378
-2947857.08786552725359797478 38485.66962337434233631939
-1112.70542735471144624171 78.24784855328836385979
-1150.57414699435003058170 79.42098030916960738068
-3054713.60009933821856975555 39880.69674955726804910228
-3073568.17830117559060454369 40126.86496997473295778036
-1185.23915560084219578130 81.70255746183929090876
-3149003.17401660513132810593 41111.62650610507989767939
-1243.77696115991011538426 83.90166251259681473584
