#t[s] err_t[s] I[A] err_I[A] B[mT] err_B[mT] l_Fe[mm] err_l_Fe[mm] d[mm] err_d[mm]
0 0 0 0 0 0 477 4 2 0.05
0.1 0 0 0 0 0 477 4 2 0.05
0.2 0 0 0 0 0 477 4 2 0.05
0.3 0 -0.0015 -1.5E-05 0 0 477 4 2 0.05
0.4 0 -0.0015 -1.5E-05 0 0 477 4 2 0.05
0.5 0 0 0 0 0 477 4 2 0.05
0.6 0 0 0 0 0 477 4 2 0.05
0.7 0 0.0015 1.5E-05 0 0 477 4 2 0.05
0.8 0 0 0 0 0 477 4 2 0.05
0.9 0 0 0 0 0 477 4 2 0.05
1.0 0 0.0015 1.5E-05 0 0 477 4 2 0.05
1.1 0 -3 -0.03 0 0 477 4 2 0.05
1.2 0 0 0 0 0 477 4 2 0.05
1.3 0 -0.0015 -1.5E-05 0 0 477 4 2 0.05
1.4 0 0.0015 1.5E-05 0 0 477 4 2 0.05
1.5 0 0 0 0 0 477 4 2 0.05
1.6 0 0.0015 1.5E-05 0 0 477 4 2 0.05
1.7 0 0.0015 1.5E-05 0 0 477 4 2 0.05
1.8 0 3 0.03 0 0 477 4 2 0.05
1.9 0 0 0 0 0 477 4 2 0.05
2.0 0 -0.0015 -1.5E-05 0 0 477 4 2 0.05
2.1 0 0.0015 1.5E-05 0 0 477 4 2 0.05
2.2 0 0.0015 1.5E-05 0 0 477 4 2 0.05
2.3 0 0 0 0 0 477 4 2 0.05
2.4 0 0 0 0 0 477 4 2 0.05
2.5 0 -0.0015 -1.5E-05 0 0 477 4 2 0.05
2.6 0 0 0 0 0 477 4 2 0.05
2.7 0 0.0015 1.5E-05 0.5 0.015 477 4 2 0.05
2.8 0 0.0135 0.000135 -1 -0.03 477 4 2 0.05
2.9 0 0.0675 0.000675 -11.5 -0.345 477 4 2 0.05
3.0 0 141 1.41 -30 -0.9 477 4 2 0.05
3.1 0 0.1815 0.001815 -44 -1.32 477 4 2 0.05
3.2 0 201 2.01 -53 -1.59 477 4 2 0.05
3.3 0 0.2265 0.002265 -62 -1.86 477 4 2 0.05
3.4 0 0.2355 0.002355 -67 -2.01 477 4 2 0.05
3.5 0 0.2505 0.002505 -72 -2.16 477 4 2 0.05
3.6 0 273 2.73 -79.5 -2.385 477 4 2 0.05
3.7 0 285 2.85 -85.5 -2.565 477 4 2 0.05
3.8 0 291 2.91 -89.5 -2.685 477 4 2 0.05
3.9 0 0.3135 0.003135 -95.5 -2.865 477 4 2 0.05
4.0 0 336 3.36 -104.5 -3.135 477 4 2 0.05
4.1 0 0.3525 0.003525 -112 -3.36 477 4 2 0.05
4.2 0 0.3765 0.003765 -121.5 -3.645 477 4 2 0.05
4.3 0 402 4.02 -131.5 -3.945 477 4 2 0.05
4.4 0 423 4.23 -140.5 -4.215 477 4 2 0.05
4.5 0 0.4515 0.004515 -152.5 -4.575 477 4 2 0.05
4.6 0 0.4635 0.004635 -159.5 -4.785 477 4 2 0.05
4.7 0 0.48 0.0048 -167 -5.01 477 4 2 0.05
4.8 0 0.4935 0.004935 -174.5 -5.235 477 4 2 0.05
4.9 0 0.4935 0.004935 -177.5 -5.325 477 4 2 0.05
5.0 0 492 4.92 -179.5 -5.385 477 4 2 0.05
5.1 0 0.4905 0.004905 -181 -5.43 477 4 2 0.05
5.2 0 0.4935 0.004935 -182 -5.46 477 4 2 0.05
5.3 0 519 5.19 -186 -5.58 477 4 2 0.05
5.4 0 0.5625 0.005625 -199.5 -5.985 477 4 2 0.05
5.5 0 618 6.18 -218.5 -6.555 477 4 2 0.05
5.6 0 663 6.63 -237.5 -7.125 477 4 2 0.05
5.7 0 0.6975 0.006975 -253.5 -7.605 477 4 2 0.05
5.8 0 726 7.26 -267 -8.01 477 4 2 0.05
5.9 0 0.7515 0.007515 -280 -8.4 477 4 2 0.05
6.0 0 0.7935 0.007935 -295.5 -8.865 477 4 2 0.05
6.1 0 834 8.34 -311 -9.33 477 4 2 0.05
6.2 0 858 8.58 -324 -9.72 477 4 2 0.05
6.3 0 891 8.91 -337 -10.11 477 4 2 0.05
6.4 0 915 9.15 -350 -10.5 477 4 2 0.05
6.5 0 945 9.45 -362.5 -10.875 477 4 2 0.05
6.6 0 0.9735 0.009735 -374 -11.22 477 4 2 0.05
6.7 0 0.9945 0.009945 -385 -11.55 477 4 2 0.05
6.8 0 1.0155 0.010155 -394 -11.82 477 4 2 0.05
6.9 0 1038 10.38 -403 -12.09 477 4 2 0.05
7.0 0 1.0605 0.010605 -412.5 -12.375 477 4 2 0.05
7.1 0 1086 10.86 -422 -12.66 477 4 2 0.05
7.2 0 1.1115 0.011115 -432 -12.96 477 4 2 0.05
7.3 0 1.1325 0.011325 -441 -13.23 477 4 2 0.05
7.4 0 1161 11.61 -452 -13.56 477 4 2 0.05
7.5 0 1.1805 0.011805 -460 -13.8 477 4 2 0.05
7.6 0 1.2 12 -467.5 -14.025 477 4 2 0.05
7.7 0 1218 12.18 -475.5 -14.265 477 4 2 0.05
7.8 0 1.2405 0.012405 -483 -14.49 477 4 2 0.05
7.9 0 1266 12.66 -491.5 -14.745 477 4 2 0.05
8.0 0 1.2825 0.012825 -500 -15 477 4 2 0.05
8.1 0 1299 12.99 -506 -15.18 477 4 2 0.05
8.2 0 1.32 0.0132 -513.5 -15.405 477 4 2 0.05
8.3 0 1.3485 0.013485 -522 -15.66 477 4 2 0.05
8.4 0 1.3665 0.013665 -530 -15.9 477 4 2 0.05
8.5 0 1.3875 0.013875 -537.5 -16.125 477 4 2 0.05
8.6 0 1.41 0.0141 -544.5 -16.335 477 4 2 0.05
8.7 0 1.4235 0.014235 -551.5 -16.545 477 4 2 0.05
8.8 0 1437 14.37 -556.5 -16.695 477 4 2 0.05
8.9 0 1.4505 0.014505 -562 -16.86 477 4 2 0.05
9.0 0 1.4625 0.014625 -566 -16.98 477 4 2 0.05
9.1 0 1.4625 0.014625 -568.5 -17.055 477 4 2 0.05
9.2 0 1.4655 0.014655 -569.5 -17.085 477 4 2 0.05
9.3 0 1.4655 0.014655 -570.5 -17.115 477 4 2 0.05
9.4 0 1476 14.76 -572.5 -17.175 477 4 2 0.05
9.5 0 1482 14.82 -575 -17.25 477 4 2 0.05
9.6 0 1482 14.82 -576 -17.28 477 4 2 0.05
9.7 0 1.4835 0.014835 -576.5 -17.295 477 4 2 0.05
9.8 0 1.4835 0.014835 -576.5 -17.295 477 4 2 0.05
9907 0 1.4895 0.014895 -577.5 -17.325 477 4 2 0.05
10001 0 1.5 15 -580.5 -17.415 477 4 2 0.05
10111 0 1.5195 0.015195 -585.5 -17.565 477 4 2 0.05
10204 0 1533 15.33 -590 -17.7 477 4 2 0.05
10314 0 1536 15.36 -592.5 -17.775 477 4 2 0.05
10407 0 1.5375 0.015375 -594 -17.82 477 4 2 0.05
10501 0 1539 15.39 -594.5 -17.835 477 4 2 0.05
10611 0 1.5435 0.015435 -595.5 -17.865 477 4 2 0.05
10704 0 1.5435 0.015435 -596.5 -17.895 477 4 2 0.05
10.8 0 1.5435 0.015435 -597 -17.91 477 4 2 0.05
10.9 0 1.5465 0.015465 -597.5 -17.925 477 4 2 0.05
11.0 0 1.5495 0.015495 -598 -17.94 477 4 2 0.05
11.1 0 1.5465 0.015465 -598.5 -17.955 477 4 2 0.05
11.2 0 1548 15.48 -598.5 -17.955 477 4 2 0.05
11.3 0 1548 15.48 -598.5 -17.955 477 4 2 0.05
11.4 0 1.5465 0.015465 -598.5 -17.955 477 4 2 0.05
11.5 0 1548 15.48 -598.5 -17.955 477 4 2 0.05
11.6 0 1.5495 0.015495 -599 -17.97 477 4 2 0.05
11.7 0 1.5465 0.015465 -598.5 -17.955 477 4 2 0.05
11.8 0 1.5495 0.015495 -598.5 -17.955 477 4 2 0.05
11.9 0 1551 15.51 -599 -17.97 477 4 2 0.05
12.0 0 1551 15.51 -600 -18 477 4 2 0.05
12.1 0 1.5645 0.015645 -602 -18.06 477 4 2 0.05
12.2 0 1.5705 0.015705 -604 -18.12 477 4 2 0.05
12.3 0 1578 15.78 -606 -18.18 477 4 2 0.05
12.4 0 1578 15.78 -607 -18.21 477 4 2 0.05
12.5 0 1578 15.78 -607.5 -18.225 477 4 2 0.05
12.6 0 1584 15.84 -609 -18.27 477 4 2 0.05
12.7 0 1.59 0.0159 -610.5 -18.315 477 4 2 0.05
12.8 0 1599 15.99 -613.5 -18.405 477 4 2 0.05
12.9 0 1.6035 0.016035 -615.5 -18.465 477 4 2 0.05
13.0 0 1608 16.08 -616.5 -18.495 477 4 2 0.05
13.1 0 1608 16.08 -617.5 -18.525 477 4 2 0.05
13.2 0 1611 16.11 -618 -18.54 477 4 2 0.05
13.3 0 1611 16.11 -618.5 -18.555 477 4 2 0.05
13.4 0 1617 16.17 -620.5 -18.615 477 4 2 0.05
13.5 0 1.6245 0.016245 -622 -18.66 477 4 2 0.05
13.6 0 1.6305 0.016305 -624 -18.72 477 4 2 0.05
13.7 0 1.6395 0.016395 -626 -18.78 477 4 2 0.05
13.8 0 1.65 0.0165 -629.5 -18.885 477 4 2 0.05
13.9 0 1656 16.56 -631.5 -18.945 477 4 2 0.05
14.0 0 1659 16.59 -633 -18.99 477 4 2 0.05
14.1 0 1662 16.62 -634.5 -19.035 477 4 2 0.05
14.2 0 1668 16.68 -636 -19.08 477 4 2 0.05
14.3 0 1677 16.77 -638.5 -19.155 477 4 2 0.05
14.4 0 1686 16.86 -640.5 -19.215 477 4 2 0.05
14.5 0 1.6905 0.016905 -642.5 -19.275 477 4 2 0.05
14.6 0 1701 17.01 -646 -19.38 477 4 2 0.05
14.7 0 1.7115 0.017115 -648.5 -19.455 477 4 2 0.05
14.8 0 1716 17.16 -651 -19.53 477 4 2 0.05
14.9 0 1.7235 0.017235 -652.5 -19.575 477 4 2 0.05
15.0 0 1.7325 0.017325 -655 -19.65 477 4 2 0.05
15.1 0 1746 17.46 -658.5 -19.755 477 4 2 0.05
15.2 0 1764 17.64 -663.5 -19.905 477 4 2 0.05
15.3 0 1.7745 0.017745 -667.5 -20.025 477 4 2 0.05
15.4 0 1.7835 0.017835 -670.5 -20.115 477 4 2 0.05
15.5 0 1.7925 0.017925 -673.5 -20.205 477 4 2 0.05
15.6 0 1803 18.03 -676 -20.28 477 4 2 0.05
15.7 0 1.8045 0.018045 -678 -20.34 477 4 2 0.05
15.8 0 1.8075 0.018075 -679 -20.37 477 4 2 0.05
15.9 0 1.8105 0.018105 -680 -20.4 477 4 2 0.05
16001 0 1812 18.12 -680.5 -20.415 477 4 2 0.05
16111 0 1812 18.12 -681 -20.43 477 4 2 0.05
16205 0 1.8135 0.018135 -681 -20.43 477 4 2 0.05
16314 0 1.8135 0.018135 -681.5 -20.445 477 4 2 0.05
16408 0 1.8135 0.018135 -682 -20.46 477 4 2 0.05
16.5 0 1815 18.15 -682 -20.46 477 4 2 0.05
16.6 0 1.8135 0.018135 -682 -20.46 477 4 2 0.05
16.7 0 1.8135 0.018135 -682 -20.46 477 4 2 0.05
16.8 0 1.8135 0.018135 -682 -20.46 477 4 2 0.05
16.9 0 1.8135 0.018135 -682 -20.46 477 4 2 0.05
17.0 0 1833 18.33 -685 -20.55 477 4 2 0.05
17.1 0 1851 18.51 -690 -20.7 477 4 2 0.05
17.2 0 1872 18.72 -696 -20.88 477 4 2 0.05
17.3 0 1.8765 0.018765 -699 -20.97 477 4 2 0.05
17.4 0 1.8765 0.018765 -699.5 -20.985 477 4 2 0.05
17501 0 1.8795 0.018795 -700.5 -21.015 477 4 2 0.05
17612 0 1.89 0.0189 -702.5 -21.075 477 4 2 0.05
17705 0 1.9035 0.019035 -705.5 -21.165 477 4 2 0.05
17814 0 1911 19.11 -708 -21.24 477 4 2 0.05
17908 0 1.92 0.0192 -710.5 -21.315 477 4 2 0.05
18003 0 1.9335 0.019335 -714.5 -21.435 477 4 2 0.05
18111 0 1.9545 0.019545 -719.5 -21.585 477 4 2 0.05
18.2 0 1.9635 0.019635 -722.5 -21.675 477 4 2 0.05
18.3 0 1.9725 0.019725 -726 -21.78 477 4 2 0.05
18.4 0 1.9875 0.019875 -729.5 -21.885 477 4 2 0.05
18.5 0 1.9995 0.019995 -733 -21.99 477 4 2 0.05
18.6 0 2025 20.25 -738 -22.14 477 4 2 0.05
18.7 0 2052 20.52 -745.5 -22.365 477 4 2 0.05
18.8 0 2076 20.76 -752 -22.56 477 4 2 0.05
18.9 0 2.0835 0.020835 -756 -22.68 477 4 2 0.05
19.0 0 2.0955 0.020955 -759.5 -22.785 477 4 2 0.05
19.1 0 2.1 21 -761.5 -22.845 477 4 2 0.05
19.2 0 2106 21.06 -763.5 -22.905 477 4 2 0.05
19.3 0 2106 21.06 -764.5 -22.935 477 4 2 0.05
19.4 0 2.1105 0.021105 -765 -22.95 477 4 2 0.05
19.5 0 2109 21.09 -765.5 -22.965 477 4 2 0.05
19.6 0 2112 21.12 -766 -22.98 477 4 2 0.05
19.7 0 2112 21.12 -766 -22.98 477 4 2 0.05
19.8 0 2112 21.12 -766.5 -22.995 477 4 2 0.05
19.9 0 2112 21.12 -766 -22.98 477 4 2 0.05
20.0 0 2112 21.12 -766.5 -22.995 477 4 2 0.05
20.1 0 2.1135 0.021135 -766.5 -22.995 477 4 2 0.05
20.2 0 2.1105 0.021105 -766.5 -22.995 477 4 2 0.05
20.3 0 2112 21.12 -766.5 -22.995 477 4 2 0.05
