D_B [mm],err_D_B [mm],D_streifen [mm],err_D_streifen [mm],E [mm],err_E [mm]
3.0,0.0,0.0,1.5962441315,6580.0,100.0
2.0,0.0,19.1549295775,1.6002159919,6580.0,100.0
1.0,0.0,34.3192488263,1.6089592995,6580.0,100.0
0.6,0.0,71.8309859155,1.6512211639,6580.0,100.0
0.3,0.0,170.0,1.8836123081,6580.0,100.0
