D_B [mm],err_D_B [mm],D_streifen [mm],err_D_streifen [mm],E [mm],err_E [mm]
3.0,1e-7,0.0,1.59624,6580.0,100.0
2.0,1e-7,19.15493,1.60022,6580.0,100.0
1.0,1e-7,34.31925,1.60896,6580.0,100.0
0.6,1e-7,71.83099,1.65122,6580.0,100.0
0.3,1e-7,170.0,1.88361,6580.0,100.0
