1/D_B [1/mm],err_1/D_B [1/mm],alpha [rad],err_alpha [rad]
0.3333333333,0.0,0.0,2.117e-05
0.5,0.0,0.00025404,2.1571e-05
1.0,0.0,0.0004551549,2.24318e-05
1.6666666667,0.0,0.0009526499,2.62523e-05
3.3333333333,0.0,0.0022546047,4.24042e-05
