1/D_B [1/mm],err_1/D_B [1/mm],alpha [rad],err_alpha [rad]
0.3333333333,1e-7,0.0,0.0211699968
0.5,1e-7,0.2540399613,0.0215709886
1.0,1e-7,0.4551549307,0.0224317957
1.6666666667,1e-7,0.952649855,0.0262522943
3.3333333333,1e-7,2.2546046568,0.0424041983
