#t_up_mean	t_up_err	t_mid_mean	t_mid_err	t_down_mean	t_down_err
3.19 0.18 2.95 0.18 0.88 0.18
2.5 0.3 1.0 0.3 0.4 0.3
0.4 0.3 1.3 0.3 0.2 0.3
4.6 0.3 3.5 0.3 1.4 0.3
0.53 0.14 2.04 0.14 0.37 0.18
0.68 0.18 1.46 0.18 0.41 0.18
0.7 0.3 2.8 0.3 0.4 0.3
0.7 0.3 2.6 0.3 0.4 0.3
0.9 0.3 3.2 0.3 0.9 0.3
3.19 0.12 9.16 0.12 1.92 0.12
27.2 0.3 12.9 0.3 4.5 0.3
16.30 0.18 12.32 0.18 4.38 0.18
7.40 0.18 7.07 0.18 2.49 0.18
