#Ne err_Ne Ne err_Ne
0.000000000194920 0.000000000060849 0.000000000194920 0.000000000060849
0.000000000659667 0.000000000509686 0.000000000659667 0.000000000509686
0.000000001101689 0.000000003341135 0.000000001101689 0.000000003341135
0.000000000084524 0.000000000024096 0.000000000084524 0.000000000024096
0.000000000203280 0.000000000379185 0.000000000203280 0.000000000379185
0.000000000241811 0.000000000316517 0.000000000241811 0.000000000316517
0.000000000229162 0.000000000442082 0.000000000229162 0.000000000442082
0.000000000476840 0.000000000740404 0.000000000476840 0.000000000740404
0.000000000005389 0.000000000035664 0.000000000005389 0.000000000035664
0.000000000024495 0.000000000004613 0.000000000024495 0.000000000004613
0.000000000020534 0.000000000001527 0.000000000020534 0.000000000001527
0.000000000017648 0.000000000001093 0.000000000017648 0.000000000001093
0.000000000035643 0.000000000004298 0.000000000035643 0.000000000004298
