#Ne err_Ne Ne err_Ne
0.00000000000000019492 0 0.00000000000000019492 0
0.00000000000000065967 0 0.00000000000000065967 0
0.00000000000000110169 0 0.00000000000000110169 0
0.00000000000000008452 0 0.00000000000000008452 0
0.00000000000000020328 0 0.00000000000000020328 0
0.00000000000000024181 0 0.00000000000000024181 0
0.00000000000000022916 0 0.00000000000000022916 0
0.00000000000000047684 0 0.00000000000000047684 0
0.00000000000000000539 0 0.00000000000000000539 0
0.00000000000000002449 0 0.00000000000000002449 0
0.00000000000000002053 0 0.00000000000000002053 0
0.00000000000000001765 0 0.00000000000000001765 0
0.00000000000000003564 0 0.00000000000000003564 0
