#r err_r Ne err_Ne  
0.00000140 0.00000020 0.000000000000000012 0.000000000000000004
0.0000021 0.0000007 0.00000000000000004 0.00000000000000003
0.000002 0.000003 0.00000000000000007 0.00000000000000021
0.00000106 0.00000013 0.0000000000000000052 0.0000000000000000015
0.0000014 0.0000012 0.000000000000000013 0.000000000000000024
0.0000015 0.0000009 0.000000000000000015 0.000000000000000020
0.0000015 0.0000013 0.00000000000000001 0.00000000000000003
0.0000019 0.0000013 0.00000000000000003 0.00000000000000005
0.0000004 0.0000013 0.0000000000000000003 0.0000000000000000022
0.00000070 0.00000006 0.0000000000000000015 0.0000000000000000003
0.000000660 0.000000022 0.00000000000000000127 0.00000000000000000009
0.000000628 0.000000017 0.00000000000000000109 0.00000000000000000007
0.00000079 0.00000004 0.0000000000000000022 0.0000000000000000003
