#0 err_0 Ne err_Ne
0.0000000000000 0.0000000000 0.0000001949 0.0000000609
0.00000001000000 0.0000000000 0.0000006597 0.0000005097
0.00000003000000 0.0000000000 0.0000000845 0.0000000241
0.00000004000000 0.0000000000 0.0000002033 0.0000003792
0.00000005000000 0.0000000000 0.0000002418 0.0000003165
0.00000006000000 0.0000000000 0.0000002292 0.0000004421
0.00000007000000 0.0000000000 0.0000004768 0.0000007404
0.00000008000000 0.0000000000 0.0000000054 0.0000000357
0.00000009000000 0.0000000000 0.0000000245 0.0000000046
0.00000010000000 0.0000000000 0.0000000205 0.0000000015
0.000000110000000 0.0000000000 0.0000000176 0.0000000011
0.000000120000000 0.0000000000 0.0000000356 0.0000000043
