#e/m err_e/m
165987196811.3631896973 20738918473.5574378967
169613849298.1751098633 20148729867.1159515381
172849779236.1427307129 19380221216.3465042114
177838842624.5582580566 18802216168.1534156799
170709076031.5422668457 16941912971.4326019287
168908774263.2665405273 15745562299.0679855347
175550334023.6112060547 15980127155.4589557648
166988452827.5087585449 14321479617.9293613434
172076375329.3210754395 19634872442.4464035034
166022682796.9830017090 27578051590.4346771240
