#log_T err_log_T log_I err_log_I
5.9016717887 0.2274323508 2.6583285688 0.2416061851
6.0704579525 0.1513391842 2.7237877822 0.0452681593
6.4022968744 0.1394188670 3.3096616787 0.1259614561
6.5372696782 0.1377338156 4.0066432921 0.1254786373
6.6550017075 0.1372976304 4.4543071992 0.1603914351
6.7489338995 0.1370973801 4.8738539628 0.1054324574
6.8441151666 0.1369098115 5.1879443091 0.0288801350
6.9318567226 0.1366503660 5.5478543540 0.0134339258
6.9364079665 0.1366259393 5.6065497583 0.0025341086
