#T err_T I err_I
3633.5870011680 83.1587364997 14.2724137931 3.4482758621
3700.8176315512 65.5096275699 15.2379310345 0.6896551724
3871.1677465270 84.1000158748 27.3758620690 3.4482758621
3958.3377483195 95.0899727580 54.9620689655 6.8965517241
4044.5980066616 106.6323022841 85.9965517241 13.7931034483
4121.0874925945 116.9633877510 130.8241379310 13.7931034483
4206.2813941016 128.4673404977 179.1000000000 5.1724137931
4292.3329882928 139.9829535935 256.6862068966 3.4482758621
4297.0058819460 140.5963734182 272.2034482759 0.6896551724
