1/D_B [1/m],err_1/D_B [1/m],alpha [rad],err_alpha [rad]
333.3333333333,1.11111e-05,0.0,0.0534557198
500.0,2.5e-05,0.4009178986,0.080418291
1000.0,0.0001,0.6147407779,0.0807343282
1666.6666666667,0.0002777778,1.4165765751,0.1353885681
3333.3333333333,0.0011111111,2.3520516719,0.044852636
