0	0,0015	0,5
0,1	0,0015	0
0,2	0	0
0,3	0	0
0,4	0	0
0,5	0,003	0
0,6	0	0
0,7	0	0
0,8	0	0,5
0,9	0	0
1	-0,0015	0
1,1	0,0015	0
1,2	0	0
1,3	0	0
1,4	0,0015	0
1,5	0	0
1,6	0	0
1,7	0	0,5
1,8	0	0
1,9	-0,0135	-1
2	-0,0675	-10
2,1	-0,126	-22
2,2	-0,1815	-36,5
2,3	-0,231	-53
2,4	-0,2505	-62,5
2,5	-0,2625	-67,5
2,6	-0,2925	-76,5
2,7	-0,327	-89,5
2,8	-0,36	-104
2,9	-0,387	-117
3	-0,408	-128
3,1	-0,4275	-137,5
3,2	-0,4575	-149,5
3,3	-0,486	-163,5
3,4	-0,5085	-175
3,5	-0,5205	-182
3,6	-0,5445	-192
3,7	-0,5835	-206
3,8	-0,624	-223,5
3,9	-0,642	-236
4	-0,66	-244,5
4,1	-0,6825	-253,5
4,2	-0,7125	-266
4,3	-0,7275	-274,5
4,4	-0,7425	-283
4,5	-0,765	-292
4,6	-0,7995	-305
4,7	-0,8295	-317,5
4,8	-0,8565	-329,5
4,9	-0,882	-340,5
5	-0,8985	-349,5
5,1	-0,9165	-358
5,2	-0,948	-370
5,3	-0,9675	-379
5,4	-0,987	-387
5,5	-1,0125	-397
5,6	-1,041	-408
5,7	-1,0635	-418
5,8	-1,0935	-428,5
5,9	-1,1145	-438
6	-1,131	-446
6,1	-1,155	-454,5
6,2	-1,1655	-460,5
6,3	-1,1835	-468
6,4	-1,197	-473,5
6,5	-1,2165	-481
6,6	-1,2345	-486,5
6,7	-1,266	-497
6,8	-1,29	-505,5
6,9	-1,3035	-511,5
7	-1,3245	-519
7,1	-1,344	-526,5
7,2	-1,3635	-533,5
7,3	-1,368	-537,5
7,4	-1,386	-541,5
7,5	-1,407	-548
7,6	-1,4085	-551,5
7,7	-1,4385	-559
7,8	-1,458	-566,5
7,9	-1,467	-570,5
8	-1,4805	-575
8,1	-1,503	-581,5
8,2	-1,5315	-589,5
8,3	-1,554	-597
8,4	-1,575	-605
8,5	-1,587	-610
8,6	-1,62	-618
8,7	-1,638	-625
8,8	-1,665	-632,5
8,9	-1,686	-639,5
9	-1,7115	-646
9,1	-1,746	-656
9,2	-1,788	-667
9,3	-1,8315	-680
9,4	-1,845	-687
9,5	-1,8675	-693,5
9,6	-1,9005	-702,5
9,7	-1,9125	-707,5
9,8	-1,9305	-712
9,9	-1,9455	-717
10	-1,968	-723
10,1	-1,9905	-728,5
10,2	-2,01	-734
10,3	-2,0295	-739,5
10,4	-2,049	-745
10,5	-2,0655	-750
10,6	-2,0805	-754,5
10,7	-2,0895	-757,5
10,8	-2,0955	-759,5
10,9	-2,0895	-760
11	-2,0895	-760
11,1	-2,0895	-760
11,2	-2,091	-760
11,3	-2,091	-760
11,4	-2,0925	-760
11,5	-2,097	-761
11,6	-2,136	-767,5
11,7	-2,19	-778
11,8	-2,2425	-791
11,9	-2,2755	-802
12	-2,292	-807,5
12,1	-2,331	-815,5
12,2	-2,37	-825
12,3	-2,391	-832
12,4	-2,4015	-835,5
12,5	-2,406	-838
12,6	-2,412	-839,5
12,7	-2,4135	-840
12,8	-2,4135	-840,5
12,9	-2,415	-841
13	-2,415	-841
13,1	-2,415	-841,5
13,2	-2,4165	-841,5
13,3	-2,4135	-841,5
13,4	-2,4165	-841
13,5	-2,4135	-842
13,6	-2,4165	-841
13,7	-2,4135	-841
13,8	-2,415	-841,5
13,9	-2,415	-841,5
14	-2,4165	-841,5
14,1	-2,4165	-842
14,2	-2,4165	-841,5
14,3	-2,418	-841,5
14,4	-2,415	-841,5
14,5	-2,4165	-841,5
14,6	-2,418	-841,5
14,7	-2,418	-842
14,8	-2,418	-841,5
14,9	-2,418	-841,5
15	-2,4195	-842
15,1	-2,4165	-842
15,2	-2,4165	-841,5
15,3	-2,418	-842
15,4	-2,418	-842
15,5	-2,418	-842
15,6	-2,418	-842
15,7	-2,4165	-841,5
15,8	-2,4195	-842
15,9	-2,4165	-842
16	-2,4165	-841,5
16,1	-2,415	-841,5
16,2	-2,4135	-841,5
16,3	-2,415	-841,5
16,4	-2,415	-842
16,5	-2,415	-842
16,6	-2,4165	-841,5
16,7	-2,4165	-841,5
16,8	-2,418	-842
16,9	-2,4165	-842
17	-2,418	-841,5
17,1	-2,418	-842
17,2	-2,436	-844
17,3	-2,4525	-847,5
17,4	-2,4675	-851
17,5	-2,4945	-856
17,6	-2,517	-862
17,7	-2,544	-867
17,8	-2,559	-871
17,9	-2,5875	-876,5
18	-2,6055	-881
18,1	-2,6175	-884
18,2	-2,6235	-886
18,3	-2,628	-887,5
18,4	-2,631	-888,5
18,5	-2,6355	-889
18,6	-2,646	-890,5
18,7	-2,649	-892
18,8	-2,6535	-892,5
18,9	-2,67	-895
19	-2,682	-897,5
19,1	-2,6895	-899,5
19,2	-2,697	-901,5
19,3	-2,7045	-902,5
19,4	-2,7105	-904
19,5	-2,7165	-905
19,6	-2,7255	-906,5
19,7	-2,7315	-908
19,8	-2,739	-909
19,9	-2,7465	-911
20	-2,7555	-913
20,1	-2,7615	-913,5
20,2	-2,763	-914
20,3	-2,769	-915
20,4	-2,7735	-916
20,5	-2,781	-917
20,6	-2,7855	-918
20,7	-2,79	-919,5
20,8	-2,7915	-920
20,9	-2,793	-920,5
21	-2,7945	-921
21,1	-2,7945	-921
21,2	-2,799	-921,5
21,3	-2,808	-923
21,4	-2,8125	-924
21,5	-2,8155	-924
21,6	-2,82	-925
21,7	-2,829	-926
21,8	-2,838	-927,5
21,9	-2,844	-929
22	-2,8515	-931
22,1	-2,865	-932,5
22,2	-2,8725	-934,5
22,3	-2,874	-935,5
22,4	-2,877	-935
22,5	-2,886	-936,5
22,6	-2,901	-939
22,7	-2,913	-941
22,8	-2,9175	-941,5
22,9	-2,919	-942
23	-2,919	-942
23,1	-2,9205	-943
23,2	-2,9205	-943,5
23,3	-2,9205	-944
23,4	-2,919	-944
23,5	-2,9205	-942
23,6	-2,9205	-944
23,7	-2,931	-945,5
23,8	-2,9475	-947
23,9	-2,9595	-949
24	-2,9745	-950
24,1	-2,988	-953
24,2	-2,9985	-954,5
24,3	-3,003	-956
