#H_Fe[T] err_H_Fe[T]
1.48 0.07
3.14 0.04
0E-20 0
0E-20 0
0E-20 0
6290 80
0E-20 0
0E-20 0
-1.67 0.07
0E-20 0
-3.14 0.04
3.14 0.04
0E-20 0
0E-20 0
3.14 0.04
0E-20 0
0E-20 0
-1.67 0.07
0E-20 0
-25.0 0.4
-108.1 2.1
-264000 3000
-259 6
-484000 6000
-317 10
-325 11
-358 12
-685000 9000
-408 16
-811000 11000
-855000 11000
-437 20
-460 22
-1018000 13000
-480 30
-480 30
-500 30
-540 30
-1307000 17000
-1345000 18000
-570 40
-580 40
-610 40
-610 40
-610 40
-1603000 21000
-660 40
-680 50
-700 50
-1848000 24000
-720 50
-730 50
-1990000 30000
-760 50
-2070000 30000
-800 60
-2180000 30000
-830 60
-860 60
-880 60
-2370000 30000
-2420000 30000
-910 70
-920 70
-2510000 30000
-950 70
-960 70
-2650000 30000
-1020 70
-1030 70
-1050 70
-2820000 40000
-1080 80
-2870000 40000
-2900000 40000
-2950000 40000
-1110 80
-1150 80
-3050000 40000
-3070000 40000
-1190 80
-3150000 40000
-1240 80
-3260000 40000
-3300000 40000
-3330000 40000
-1330 90
-3430000 40000
-3490000 50000
-3530000 50000
-1430 90
-3660000 50000
-3750000 50000
-1570 100
-3870000 50000
-1600 100
-1640 100
-1650 100
-1670 100
-1690 100
-4120000 50000
-1740 100
-1760 110
-1790 110
-4290000 60000
-1830 110
-1840 110
-1850 110
-1860 110
-1840 110
-1840 110
-1840 110
-4380000 60000
-4380000 60000
-1850 110
-4390000 60000
-4480000 60000
-2000 110
-2060 110
-2090 120
-4800000 60000
-4880000 60000
-2220 120
-5010000 70000
-2250 120
-5040000 70000
-5050000 70000
-2260 120
-2260 120
-5060000 70000
-5060000 70000
-5060000 70000
-2260 120
-2250 120
-2260 120
-2250 120
-2260 120
-2250 120
-5060000 70000
-5060000 70000
-2260 120
-2260 120
-2260 120
-5070000 70000
-5060000 70000
-2260 120
-5070000 70000
-5070000 70000
-5070000 70000
-5070000 70000
-2260 120
-2260 120
-2260 120
-5070000 70000
-5070000 70000
-5070000 70000
-5070000 70000
-2260 120
-2260 120
-2260 120
-2260 120
-5060000 70000
-2250 120
-5060000 70000
-5060000 70000
-5060000 70000
-2260 120
-2260 120
-5070000 70000
-2260 120
-5070000 70000
-5070000 70000
-5100000 70000
-2310 120
-2330 120
-2370 120
-5270000 70000
-5330000 70000
-5360000 70000
-2500 130
-2520 130
-2540 130
-2540 130
-5510000 70000
-5510000 70000
-2560 130
-5540000 70000
-5550000 70000
-2580 130
-2610 130
-5620000 70000
-2640 130
-5650000 70000
-2660 130
-2670 130
-2680 130
-2690 130
-2700 130
-5740000 70000
-2720 130
-2730 130
-2740 130
-5790000 80000
-5800000 80000
-2760 130
-5830000 80000
-2780 140
-2780 140
-2780 140
-5850000 80000
-2790 140
-2790 140
-5860000 80000
-5880000 80000
-2810 140
-2820 140
-2830 140
-5930000 80000
-5950000 80000
-5960000 80000
-2870 140
-6000000 80000
-2900 140
-6020000 80000
-6030000 80000
-6050000 80000
