#H_Fe[T] err_H_Fe[T]
0E-20 0
0E-20 0
0E-20 0
-3.14 0.04
-3.14 0.04
0E-20 0
0E-20 0
3.14 0.04
0E-20 0
0E-20 0
3.14 0.04
-6290 80
0E-20 0
-3.14 0.04
3.14 0.04
0E-20 0
3.14 0.04
3.14 0.04
6290 80
0E-20 0
-3.14 0.04
3.14 0.04
3.14 0.04
0E-20 0
0E-20 0
-3.14 0.04
0E-20 0
1.48 0.07
31.6 0.4
180 3
296000 4000
527 8
422000 6000
682 11
717 12
765 13
573000 7000
598000 8000
610000 8000
976 16
705000 9000
1113 19
1195 20
843000 11000
887000 12000
1460 30
1500 30
1560 30
1620 30
1630 30
1032000 13000
1630 30
1640 30
1089000 14000
1840 30
1296000 17000
1391000 18000
2310 40
1523000 20000
2510 40
2650 50
1749000 23000
1800000 23000
1869000 24000
1920000 30000
1980000 30000
3290 60
3370 60
3440 60
2180000 30000
3600 70
2280000 30000
3770 70
3850 70
2440000 30000
4010 70
0 30000
2560000 30000
4210 80
2660000 30000
4360 80
2720000 40000
4480 80
4570 80
4630 80
4700 90
4770 90
4820 90
3010000 40000
4920 90
4950 90
4960 90
4970 90
4980 90
3100000 40000
3110000 40000
3110000 40000
5030 90
5030 90
5050 90
10000 30000
5140 90
3220000 40000
3220000 40000
5210 90
3230000 40000
5220 90
5230 90
5230 90
5240 100
5240 100
5240 100
3250000 40000
3250000 40000
5240 100
3250000 40000
5250 100
5240 100
5250 100
3250000 40000
3250000 40000
5290 100
5310 100
3310000 40000
3310000 40000
3310000 40000
3320000 40000
5370 100
3350000 40000
5420 100
3370000 40000
3370000 40000
3380000 40000
3380000 40000
3390000 40000
5480 100
5500 100
5530 100
5560 100
3470000 50000
3480000 50000
3490000 50000
3500000 50000
3520000 50000
3540000 50000
5690 100
3570000 50000
5750 100
3600000 50000
5790 100
5820 100
3660000 50000
3700000 50000
5950 110
5980 110
6010 110
3780000 50000
6050 110
6050 110
6060 110
3800000 50000
3800000 50000
6070 110
6080 110
6080 110
3810000 50000
6080 110
6080 110
6080 110
6080 110
3850000 50000
3880000 50000
3930000 50000
6270 110
6270 110
6280 110
6310 110
6340 110
4010000 50000
6400 110
6440 110
6500 120
6530 120
6560 120
6600 120
6640 120
4250000 60000
4300000 60000
4350000 60000
6890 120
6930 120
10000 40000
4420000 60000
4420000 60000
6980 120
4420000 60000
4430000 60000
4430000 60000
4430000 60000
4430000 60000
4430000 60000
6990 120
6980 120
4430000 60000
6990 120
6980 120
6980 120
6990 120
6990 120
6990 120
4430000 60000
4430000 60000
6990 120
6990 120
4440000 60000
6990 120
6990 120
4440000 60000
4430000 60000
4440000 60000
6990 120
4430000 60000
4440000 60000
6990 120
6990 120
6990 120
4440000 60000
4430000 60000
4440000 60000
6990 120
4430000 60000
4430000 60000
4440000 60000
6990 120
6990 120
4430000 60000
6990 120
6990 120
4440000 60000
4430000 60000
6990 120
6990 120
6990 120
4440000 60000
4440000 60000
4440000 60000
4440000 60000
6990 120
4430000 60000
6990 120
4440000 60000
4440000 60000
4440000 60000
6990 120
6990 120
6990 120
6990 120
6990 120
7000 120
4440000 60000
6990 120
4440000 60000
6990 120
4440000 60000
6990 120
6990 120
4440000 60000
4440000 60000
4440000 60000
4430000 60000
6990 120
6990 120
4440000 60000
6990 120
6990 120
4440000 60000
4440000 60000
6990 120
4440000 60000
4440000 60000
6990 120
4440000 60000
6990 120
4440000 60000
6990 120
6990 120
4440000 60000
4440000 60000
7000 120
6990 120
6990 120
6990 120
6990 120
6990 120
4430000 60000
6940 120
6770 120
6600 120
3960000 50000
3780000 50000
3600000 50000
3440000 40000
5530 100
3150000 40000
5230 100
5140 100
2920000 40000
4870 90
4770 90
2740000 40000
4660 90
2640000 30000
4460 90
2480000 30000
4260 80
2350000 30000
4050 80
2230000 30000
3910 80
2150000 30000
3800 80
2090000 30000
2050000 30000
1980000 30000
3510 70
1901000 25000
1869000 24000
1838000 24000
1800000 23000
3200 70
1662000 22000
3040 60
1624000 21000
2940 60
1517000 20000
1460000 19000
1410000 18000
2570 50
1303000 17000
2440 50
1234000 16000
2330 50
1158000 15000
1102000 14000
1039000 14000
1001000 13000
1920 40
1840 40
888000 12000
1780 40
863000 11000
1680 40
1540 30
1460 30
1440 30
1360 30
1300 30
1260 30
1200 30
1160 30
1120 30
1080 30
968 24
916 23
340000 4000
302000 4000
271000 4000
233000 3000
202000 3000
157600 2100
119800 1600
107200 1400
75800 1000
356 12
31700 400
245 10
-6060 80
229 9
229 9
227 9
225 9
225 9
222 9
225 9
225 9
224 9
224 9
228 9
224 9
227 9
227 9
224 9
224 9
224 9
224 9
224 9
224 9
220 9
220 9
224 9
224 9
224 9
224 9
224 9
224 9
227 9
227 9
224 9
220 9
224 9
224 9
224 9
227 9
224 9
224 9
224 9
220 9
220 9
227 9
224 9
225 9
224 9
224 9
224 9
227 9
224 9
224 9
224 9
220 9
227 9
227 9
227 9
227 9
227 9
224 9
224 9
227 9
227 9
224 9
220 9
144 8
-138200 1800
-220000 3000
-245000 3000
-203 4
-247 4
-321 4
-346000 5000
-406 5
-431 6
-456 6
-537 7
-584 8
-602 9
-478000 6000
-647 9
-679 10
-541000 7000
-800 12
-1000 6000
-940 15
-1006 16
-793000 10000
-849000 11000
-1274 21
-1323 22
-931000 12000
-1479 25
-1610 30
-1170000 15000
-1890 30
-1940 30
-1277000 17000
-2030 40
-2130 40
-2250 40
-2340 40
-1529000 20000
-1567000 20000
-2530 50
-2610 50
-1687000 22000
-2800 50
-2880 50
-2970 50
-3060 60
-1990000 30000
-2080000 30000
-3440 60
-2230000 30000
-3690 70
-2370000 30000
-3920 70
-2540000 30000
-2630000 30000
-2690000 40000
-4370 80
-4440 80
-2780000 40000
-4520 80
-2860000 40000
-4740 90
-3060000 40000
-3130000 40000
-3180000 40000
-5170 90
-5220 90
-3320000 40000
-3400000 40000
-5590 100
-3630000 50000
-3730000 50000
-6110 110
-4000000 50000
-4120000 50000
-6620 120
-4290000 60000
-6790 120
-6830 120
-6850 120
-4370000 60000
-4380000 60000
-6880 120
-6890 120
-6890 120
-4390000 60000
-6900 120
-4390000 60000
-6900 120
-6900 120
-6900 120
-6900 120
-4390000 60000
-6900 120
-4390000 60000
-4390000 60000
-4390000 60000
-6900 120
-6900 120
-4390000 60000
-4390000 60000
-4390000 60000
-6900 120
-4390000 60000
-4390000 60000
-6910 120
-6900 120
-6910 120
-4400000 60000
-4390000 60000
-6910 120
-4390000 60000
-4390000 60000
-6910 120
-6910 120
-4400000 60000
-6910 120
-4390000 60000
-4400000 60000
-6910 120
-4400000 60000
-4400000 60000
-4400000 60000
-6910 120
-4400000 60000
-6910 120
-4400000 60000
-6910 120
-6910 120
-6910 120
-6910 120
-6910 120
-4400000 60000
-4400000 60000
-6910 120
-6910 120
-4400000 60000
-6910 120
-4400000 60000
-6920 120
-6920 120
-4400000 60000
-6910 120
-4400000 60000
-4400000 60000
-4400000 60000
-6920 120
-4400000 60000
-6920 120
-10000 40000
-6920 120
-6920 120
-6920 120
-6920 120
-10000 40000
-10000 40000
-6920 120
-10000 40000
-10000 40000
-10000 40000
-6920 120
-6920 120
-6920 120
