m, err_m, x_l[mm],err_x_l,x_r[mm],err_x_r
1, 1e-7, 32.51,0.5,38.94,0.5
2, 1e-7, 29.81,0.5,41.86,0.5
3, 1e-7, 26.93,0.5,44.95,0.5
4, 1e-7, 24.08,0.5,48.20,0.5
5, 1e-7, 17.57,1,50,1
