m,err_m,phi [rad],err_phi [rad]
1.0,0.0,0.0543,0.0003535534
2.0,0.0,0.10895,0.0003535534
3.0,0.0,0.1637,0.0003535534
4.0,0.0,0.2188,0.0003535534
5.0,0.0,0.2745,0.0003535534
6.0,0.0,0.331,0.0003535534
7.0,0.0,0.3887,0.0007071068
8.0,0.0,0.4477,0.0007071068
9.0,0.0,0.5085,0.0014142136
