m,err_m,x_m [mm],err_x_m [mm]
1.0,1e-07,3.2,0.3535533906
2.0,1e-07,6.05,0.3535533906
3.0,1e-07,9.05,0.3535533906
4.0,1e-07,12.05,0.3535533906
