m,err_m,phi [rad],err_phi [rad],lambda [m],err_lambda [m]
1.0,0,0.0436,0.0004,4.33E-7,4E-9
2.0,0,0.0870,0.0004,4.320E-7,1.8E-9
3.0,0,0.1308,0.0004,4.331E-7,1.2E-9
4.0,0,0.1746,0.0004,4.334E-7,9E-10
5.0,0,0.2191,0.0004,4.347E-7,7E-10
6.0,0,0.2637,0.0004,4.356E-7,6E-10
7.0,0,0.3090,0.0007,4.371E-7,1.0E-9
8.0,0,0.3551,0.0007,4.389E-7,9E-10
9.0,0,0.4017,0.0007,4.407E-7,8E-10
10.0,0,0.4498,0.0014,4.433E-7,1.4E-9
11.0,0,0.4982,0.0014,4.456E-7,1.3E-9
