m,err_m,phi [rad],err_phi [rad],g_m [m],err_g_m [m]
1.0,0,0.0543,0.0004,0.00001006,7E-8
2.0,0,0.1090,0.0004,0.00001003,3E-8
3.0,0,0.1637,0.0004,0.000010019,2.2E-8
4.0,0,0.2188,0.0004,0.000010003,1.6E-8
5.0,0,0.2745,0.0004,0.000009978,1.3E-8
6.0,0,0.3310,0.0004,0.000009944,1.1E-8
7.0,0,0.3887,0.0007,0.000009896,1.8E-8
8.0,0,0.4477,0.0007,0.000009840,1.5E-8
9.0,0,0.5085,0.0014,0.00000977,3E-8
