#Ne err_Ne Ne err_Ne
0.00000000000000001636 0.00000000000000002556 0.00000000000000001636 0.00000000000000002556
0.00000000000000000578 0.00000000000000001166 0.00000000000000000578 0.00000000000000001166
0.00000000000000028690 0.00000000000000047553 0.00000000000000028690 0.00000000000000047553
0.00000000000000004627 0.00000000000000005729 0.00000000000000004627 0.00000000000000005729
0.00000000000000002638 0.00000000000000006235 0.00000000000000002638 0.00000000000000006235
0.00000000000000001063 0.00000000000000001596 0.00000000000000001063 0.00000000000000001596
0.00000000000000010426 0.00000000000000008927 0.00000000000000010426 0.00000000000000008927
0.00000000000000010483 0.00000000000000012774 0.00000000000000010483 0.00000000000000012774
0.00000000000000000578 0.00000000000000004141 0.00000000000000000578 0.00000000000000004141
0.00000000000000008501 0.00000000000000011985 0.00000000000000008501 0.00000000000000011985
0.00000000000000022409 0.00000000000000021882 0.00000000000000022409 0.00000000000000021882
0.00000000000000028768 0.00000000000000029727 0.00000000000000028768 0.00000000000000029727
0.00000000000000021100 0.00000000000000016165 0.00000000000000021100 0.00000000000000016165
0.00000000000000008501 0.00000000000000016327 0.00000000000000008501 0.00000000000000016327
0.00000000000000005521 0.00000000000000005583 0.00000000000000005521 0.00000000000000005583
0.00000000000000002117 0.00000000000000001276 0.00000000000000002117 0.00000000000000001276
0.00000000000000000808 0.00000000000000001054 0.00000000000000000808 0.00000000000000001054
