#1/r err_1/r e^(2/3) err_e^(2/3)
1627869.11932280636392533779 113736.19176515523577108979 0.00000000000030486508 0.00000000000003622231
2302025.78268876578658819199 207468.48386801377637311816 0.00000000000031286624 0.00000000000003575614
626566.41604010027367621660 46442.86153981444658711553 0.00000000000030038113 0.00000000000003649166
1151145.38966271444223821163 63752.27891869826271431521 0.00000000000030475640 0.00000000000003622877
1388310.42621130077168345451 146771.95467998133972287178 0.00000000000029839513 0.00000000000003661290
1879699.24812030047178268433 126279.04347334499470889568 0.00000000000029778461 0.00000000000003665041
878040.21424181223846971989 33621.33088338346715318039 0.00000000000030160843 0.00000000000003641734
876424.18930762493982911110 47761.66178014734759926796 0.00000000000030254242 0.00000000000003636109
2302025.78268876578658819199 206991.54482463901513256133 0.00000000000031286624 0.00000000000003575614
939849.62406015023589134216 59261.75872010853345273063 0.00000000000030045411 0.00000000000003648723
680364.67546604969538748264 29713.30012121766776544973 0.00000000000030126844 0.00000000000003643789
626017.27807687490712851286 28929.88322751652958686464 0.00000000000030094041 0.00000000000003645774
694155.21310565038584172726 23784.18805976322619244456 0.00000000000030152345 0.00000000000003642247
939849.62406015023589134216 80726.36949516648019198328 0.00000000000030045411 0.00000000000003648723
1085304.97069676592946052551 49082.54626539421587949619 0.00000000000029822425 0.00000000000003662339
1493875.11204063333570957184 40259.19782075445255031809 0.00000000000029930976 0.00000000000003655692
2059308.07248764438554644585 120098.03256352985044941306 0.00000000000030285747 0.00000000000003634217
