#Ne err_Ne Ne err_Ne
1 0 0.00000000000000002 0
2  0 0.000000000000000006 0
3 0 0.0000000000000003 0
4 0 0.00000000000000005 0
5 0 0.00000000000000003 0
6  0 0.000000000000000011 0
7 0 0.00000000000000010 0
8 0 0.00000000000000010 0
9 0 0.00000000000000001 0
10 0 0.00000000000000009 0
11 0 0.00000000000000022 0
12 0 0.0000000000000003 0
13 0 0.00000000000000021 0
14 0 0.00000000000000009 0
15 0 0.00000000000000006 0
16  0 0.000000000000000021 0
17  0 0.000000000000000008 0
