#t_up_1 err_t_up_1 t_up_2 err_t_up_2 t_up_3 err_t_up_3 t_up_4 err_t_up_4 t_up_5 err_t_up_5 t_mid_1 err_t_mid_1 t_mid_2 err_t_mid_2 t_mid_3 err_t_mid_3 t_mid_4 err_t_mid_4 t_mid_5 err_t_mid_5 t_down_1 err_t_down_1 t_down_2 err_t_down_2 t_down_3 err_t_down_3 t_down_4 err_t_down_4 t_down_5 err_t_down_5
6.68 	0.3 	NONE 	0.3 	NONE 	0.3 	NONE 	0.3 	NONE 	0.3 	4.57 	0.3 	NONE 	0.3 	NONE 	0.3 	NONE 	0.3 	NONE 	0.3 	2.54 	0.3 	NONE 	0.3 	NONE 	0.3 	NONE 	0.3 	NONE 	0.3
1.07 	0.3 	1.19 	0.3 	NONE 	0.3 	NONE 	0.3 	NONE 	0.3 	4.87 	0.3 	5.98 	0.3 	NONE 	0.3 	NONE 	0.3 	NONE 	0.3 	0.75 	0.3 	0.97 	0.3 	NONE 	0.3 	NONE 	0.3 	NONE 	0.3
1.29 	0.3 	NONE 	0.3 	NONE 	0.3 	NONE 	0.3 	NONE 	0.3 	1.27 	0.3 	NONE 	0.3 	NONE 	0.3 	NONE 	0.3 	NONE 	0.3 	0.27 	0.3 	NONE 	0.3 	NONE 	0.3 	NONE 	0.3 	NONE 	0.3
1.12 	0.3 	0.76 	0.3 	NONE 	0.3 	NONE 	0.3 	NONE 	0.3 	2.59 	0.3 	2.72 	0.3 	NONE 	0.3 	NONE 	0.3 	NONE 	0.3 	0.58 	0.3 	1.07 	0.3 	NONE 	0.3 	NONE 	0.3 	NONE 	0.3
0.75 	0.3 	0.69 	0.3 	NONE 	0.3 	NONE 	0.3 	NONE 	0.3 	2.58 	0.3 	3.63 	0.3 	NONE 	0.3 	NONE 	0.3 	NONE 	0.3 	0.52 	0.3 	1.00 	0.3 	NONE 	0.3 	NONE 	0.3 	NONE 	0.3
1.22 	0.3 	NONE 	0.3 	NONE 	0.3 	NONE 	0.3 	NONE 	0.3 	3.46 	0.3 	NONE 	0.3 	NONE 	0.3 	NONE 	0.3 	NONE 	0.3 	0.91 	0.3 	NONE 	0.3 	NONE 	0.3 	NONE 	0.3 	NONE 	0.3
0.54 	0.3 	0.53 	0.3 	NONE 	0.3 	NONE 	0.3 	NONE 	0.3 	4.81 	0.3 	4.07 	0.3 	NONE 	0.3 	NONE 	0.3 	NONE 	0.3 	0.60 	0.3 	1.16 	0.3 	NONE 	0.3 	NONE 	0.3 	NONE 	0.3
1.90 	0.3 	NONE 	0.3 	NONE 	0.3 	NONE 	0.3 	NONE 	0.3 	4.56 	0.3 	NONE 	0.3 	NONE 	0.3 	NONE 	0.3 	NONE 	0.3 	0.52 	0.3 	NONE 	0.3 	NONE 	0.3 	NONE 	0.3 	NONE 	0.3
0.68 	0.3 	NONE 	0.3 	NONE 	0.3 	NONE 	0.3 	NONE 	0.3 	4.59 	0.3 	NONE 	0.3 	NONE 	0.3 	NONE 	0.3 	NONE 	0.3 	0.72 	0.3 	NONE 	0.3 	NONE 	0.3 	NONE 	0.3 	NONE 	0.3
1.61 	0.3 	0.27 	0.3 	0.74 	0.3 	NONE 	0.3 	NONE 	0.3 	5.48 	0.3 	4.62 	0.3 	4.12 	0.3 	NONE 	0.3 	NONE 	0.3 	0.46 	0.3 	0.33 	0.3 	0.58 	0.3 	NONE 	0.3 	NONE 	0.3
0.66 	0.3 	1.25 	0.3 	1.04 	0.3 	NONE 	0.3 	NONE 	0.3 	5.05 	0.3 	4.20 	0.3 	5.40 	0.3 	NONE 	0.3 	NONE 	0.3 	0.84 	0.3 	0.46 	0.3 	1.21 	0.3 	NONE 	0.3 	NONE 	0.3
4.74 	0.3 	3.38 	0.3 	1.12 	0.3 	1.42 	0.3 	0.78 	0.3 	1.03 	0.3 	1.35 	0.3 	1.21 	0.3 	1.29 	0.3 	1.26 	0.3 	0.40 	0.3 	0.35 	0.3 	0.32 	0.3 	0.38 	0.3 	0.40 	0.3
1.36 	0.3 	NONE 	0.3 	NONE 	0.3 	NONE 	0.3 	NONE 	0.3 	2.19 	0.3 	NONE 	0.3 	NONE 	0.3 	NONE 	0.3 	NONE 	0.3 	0.61 	0.3 	NONE 	0.3 	NONE 	0.3 	NONE 	0.3 	NONE 	0.3
2.35 	0.3 	1.47 	0.3 	NONE 	0.3 	NONE 	0.3 	NONE 	0.3 	4.09 	0.3 	5.33 	0.3 	NONE 	0.3 	NONE 	0.3 	NONE 	0.3 	1.09 	0.3 	1.03 	0.3 	NONE 	0.3 	NONE 	0.3 	NONE 	0.3
